ofsI,magI,ofsQ,magQ,cfgSource,reserved0,lowLevCfg,reserved1,postStatus,reserved2
15,151,1,149,0,7186141,4294967295,18446744073709551615,0,0
6,152,4,149,0,11588501,4294967295,18446744073709551615,0,0
12,154,5,151,0,15189470,4294967295,18446744073709551615,0,0
11,151,3,147,0,6362,4294967295,18446744073709551615,0,0
-2,150,1,148,0,15337607,4294967295,18446744073709551615,0,0
9,148,1,147,0,16514148,4294967295,18446744073709551615,0,0
9,150,3,145,0,5224775,4294967295,18446744073709551615,0,0
9,148,6,147,0,4573860,4294967295,18446744073709551615,0,0
10,149,2,147,0,13441723,4294967295,18446744073709551615,0,0
11,151,4,148,0,4107041,4294967295,18446744073709551615,0,0
5,151,2,145,0,5334892,4294967295,18446744073709551615,0,0
16,150,4,144,0,10482421,4294967295,18446744073709551615,0,0
9,146,0,148,0,14247491,4294967295,18446744073709551615,0,0
-3,145,1,145,0,6150907,4294967295,18446744073709551615,0,0
12,148,3,143,0,2112722,4294967295,18446744073709551615,0,0
7,162,3,155,0,7978999,4294967295,18446744073709551615,0,0
14,157,2,147,0,2301511,4294967295,18446744073709551615,0,0
12,157,5,149,0,12107068,4294967295,18446744073709551615,0,0
9,166,0,153,0,15500377,4294967295,18446744073709551615,0,0
10,171,1,168,0,2173751,4294967295,18446744073709551615,0,0
5,151,0,151,0,14951745,4294967295,18446744073709551615,0,0
5,152,5,146,0,6559063,4294967295,18446744073709551615,0,0
14,154,5,148,0,5587187,4294967295,18446744073709551615,0,0
8,146,0,144,0,8467895,4294967295,18446744073709551615,0,0
16,153,-1,145,0,436746,4294967295,18446744073709551615,0,0
5,151,2,147,0,15024531,4294967295,18446744073709551615,0,0
9,151,6,147,0,5021768,4294967295,18446744073709551615,0,0
10,150,5,149,0,15807297,4294967295,18446744073709551615,0,0
6,152,2,148,0,3560779,4294967295,18446744073709551615,0,0
0,151,3,147,0,7961218,4294967295,18446744073709551615,0,0
9,153,2,146,0,14513009,4294967295,18446744073709551615,0,0
11,153,2,154,0,13095217,4294967295,18446744073709551615,0,0
-1,149,2,147,0,3069791,4294967295,18446744073709551615,0,0
14,152,1,144,0,7351482,4294967295,18446744073709551615,0,0
9,149,0,145,0,4918104,4294967295,18446744073709551615,0,0
5,148,6,145,0,6091040,4294967295,18446744073709551615,0,0
17,151,0,149,0,6053265,4294967295,18446744073709551615,0,0
2,149,2,143,0,11588914,4294967295,18446744073709551615,0,0
14,148,5,146,0,5368575,4294967295,18446744073709551615,0,0
15,151,3,149,0,10299391,4294967295,18446744073709551615,0,0
12,149,1,146,0,5428506,4294967295,18446744073709551615,0,0
2,147,1,146,0,1199152,4294967295,18446744073709551615,0,0
16,151,2,150,0,9638762,4294967295,18446744073709551615,0,0
0,148,0,145,0,4022325,4294967295,18446744073709551615,0,0
0,146,4,144,0,628069,4294967295,18446744073709551615,0,0
12,146,2,149,0,5676284,4294967295,18446744073709551615,0,0
5,147,10,144,0,15134244,4294967295,18446744073709551615,0,0
14,149,2,146,0,5849727,4294967295,18446744073709551615,0,0
12,151,5,148,0,6707352,4294967295,18446744073709551615,0,0
12,152,0,145,0,7832902,4294967295,18446744073709551615,0,0
14,150,2,145,0,8710491,4294967295,18446744073709551615,0,0
12,150,4,143,0,15635681,4294967295,18446744073709551615,0,0
17,155,0,144,0,7882391,4294967295,18446744073709551615,0,0
13,149,4,145,0,12692508,4294967295,18446744073709551615,0,0
10,148,2,149,0,8700575,4294967295,18446744073709551615,0,0
13,147,6,146,0,2758628,4294967295,18446744073709551615,0,0
14,149,1,146,0,11248129,4294967295,18446744073709551615,0,0
8,149,7,142,0,7021680,4294967295,18446744073709551615,0,0
9,151,10,148,0,2814194,4294967295,18446744073709551615,0,0
-1,150,3,145,0,9189870,4294967295,18446744073709551615,0,0
9,148,8,144,0,4901503,4294967295,18446744073709551615,0,0
9,158,8,146,0,13483633,4294967295,18446744073709551615,0,0
7,146,0,143,0,7761975,4294967295,18446744073709551615,0,0
4,151,0,144,0,7282823,4294967295,18446744073709551615,0,0
1,148,4,147,0,12317756,4294967295,18446744073709551615,0,0
11,150,5,148,0,9380903,4294967295,18446744073709551615,0,0
16,150,1,144,0,10798425,4294967295,18446744073709551615,0,0
10,142,8,146,0,6679836,4294967295,18446744073709551615,0,0
17,152,1,150,0,3438155,4294967295,18446744073709551615,0,0
6,149,1,147,0,3791840,4294967295,18446744073709551615,0,0
-2,150,4,147,0,8133400,4294967295,18446744073709551615,0,0
7,151,7,149,0,3022704,4294967295,18446744073709551615,0,0
15,151,3,145,0,795597,4294967295,18446744073709551615,0,0
8,151,-1,149,0,8369195,4294967295,18446744073709551615,0,0
13,152,7,145,0,15477888,4294967295,18446744073709551615,0,0
13,152,4,142,0,8052580,4294967295,18446744073709551615,0,0
13,151,3,146,0,3282050,4294967295,18446744073709551615,0,0
9,151,0,158,0,4499189,4294967295,18446744073709551615,0,0
11,162,3,162,0,7278586,4294967295,18446744073709551615,0,0
11,156,0,151,0,1929960,4294967295,18446744073709551615,0,0
14,158,0,156,0,11694923,4294967295,18446744073709551615,0,0
12,151,4,151,0,5747252,4294967295,18446744073709551615,0,0
10,150,1,147,0,1195564,4294967295,18446744073709551615,0,0
14,150,2,147,0,1596491,4294967295,18446744073709551615,0,0
15,151,5,150,0,2458791,4294967295,18446744073709551615,0,0
13,152,0,144,0,4341996,4294967295,18446744073709551615,0,0
7,151,6,150,0,457246,4294967295,18446744073709551615,0,0
14,148,6,147,0,6275207,4294967295,18446744073709551615,0,0
12,150,5,147,0,12488616,4294967295,18446744073709551615,0,0
6,146,2,144,0,5893610,4294967295,18446744073709551615,0,0
-1,147,1,148,0,15575979,4294967295,18446744073709551615,0,0
14,154,4,145,0,15120763,4294967295,18446744073709551615,0,0
3,147,0,146,0,10866053,4294967295,18446744073709551615,0,0
14,154,6,148,0,5826605,4294967295,18446744073709551615,0,0
17,154,7,152,0,6896804,4294967295,18446744073709551615,0,0
17,155,1,155,0,13937695,4294967295,18446744073709551615,0,0
5,154,1,151,0,10157608,4294967295,18446744073709551615,0,0
14,148,-1,148,0,12174810,4294967295,18446744073709551615,0,0
7,156,7,151,0,9636961,4294967295,18446744073709551615,0,0
10,156,2,144,0,5604931,4294967295,18446744073709551615,0,0
10,151,5,145,0,286845,4294967295,18446744073709551615,0,0
14,150,3,144,0,14101146,4294967295,18446744073709551615,0,0
16,152,5,146,0,15758127,4294967295,18446744073709551615,0,0
12,150,2,150,0,8582958,4294967295,18446744073709551615,0,0
2,147,5,146,0,3438343,4294967295,18446744073709551615,0,0
8,151,5,148,0,12726577,4294967295,18446744073709551615,0,0
15,152,4,146,0,9938126,4294967295,18446744073709551615,0,0
13,150,1,146,0,11791919,4294967295,18446744073709551615,0,0
6,154,2,149,0,7958986,4294967295,18446744073709551615,0,0
14,147,-2,147,0,11586457,4294967295,18446744073709551615,0,0
14,155,3,147,0,16417345,4294967295,18446744073709551615,0,0
2,148,2,149,0,1633296,4294967295,18446744073709551615,0,0
13,157,3,147,0,7854977,4294967295,18446744073709551615,0,0
17,152,2,145,0,1218696,4294967295,18446744073709551615,0,0
5,148,4,145,0,15259423,4294967295,18446744073709551615,0,0
11,147,5,146,0,16406343,4294967295,18446744073709551615,0,0
8,149,4,145,0,11080004,4294967295,18446744073709551615,0,0
4,154,8,149,0,2366308,4294967295,18446744073709551615,0,0
18,151,1,145,0,13986873,4294967295,18446744073709551615,0,0
12,148,6,144,0,12320726,4294967295,18446744073709551615,0,0
13,149,4,148,0,14067865,4294967295,18446744073709551615,0,0
15,151,5,146,0,2420288,4294967295,18446744073709551615,0,0
9,149,5,147,0,604335,4294967295,18446744073709551615,0,0
13,147,2,150,0,11795182,4294967295,18446744073709551615,0,0
14,150,4,144,0,9272646,4294967295,18446744073709551615,0,0
15,149,2,144,0,9827364,4294967295,18446744073709551615,0,0
10,148,1,142,0,13390399,4294967295,18446744073709551615,0,0
2,145,4,146,0,3153089,4294967295,18446744073709551615,0,0
11,148,4,147,0,2362093,4294967295,18446744073709551615,0,0
15,149,4,143,0,14130145,4294967295,18446744073709551615,0,0
10,150,4,144,0,11852329,4294967295,18446744073709551615,0,0
13,151,3,143,0,12221688,4294967295,18446744073709551615,0,0
17,149,3,144,0,15274670,4294967295,18446744073709551615,0,0
11,149,5,146,0,4136226,4294967295,18446744073709551615,0,0
9,150,4,146,0,2061273,4294967295,18446744073709551615,0,0
12,150,2,146,0,12150001,4294967295,18446744073709551615,0,0
16,151,3,146,0,1210148,4294967295,18446744073709551615,0,0
15,151,8,148,0,6410788,4294967295,18446744073709551615,0,0
0,150,6,149,0,24113,4294967295,18446744073709551615,0,0
13,148,0,144,0,9757830,4294967295,18446744073709551615,0,0
10,150,2,146,0,4407616,4294967295,18446744073709551615,0,0
16,151,7,143,0,10788112,4294967295,18446744073709551615,0,0
13,152,2,147,0,2477138,4294967295,18446744073709551615,0,0
13,157,2,151,0,12982582,4294967295,18446744073709551615,0,0
10,154,1,147,0,8752384,4294967295,18446744073709551615,0,0
14,151,-2,149,0,6494252,4294967295,18446744073709551615,0,0
11,154,4,151,0,12831291,4294967295,18446744073709551615,0,0
12,150,0,145,0,13914623,4294967295,18446744073709551615,0,0
17,151,3,146,0,10146575,4294967295,18446744073709551615,0,0
7,159,3,147,0,5330759,4294967295,18446744073709551615,0,0
14,156,1,149,0,11928136,4294967295,18446744073709551615,0,0
13,153,3,148,0,3510399,4294967295,18446744073709551615,0,0
13,151,1,145,0,3302635,4294967295,18446744073709551615,0,0
5,152,0,154,0,14523642,4294967295,18446744073709551615,0,0
14,152,0,149,0,3865895,4294967295,18446744073709551615,0,0
15,152,4,146,0,8582436,4294967295,18446744073709551615,0,0
10,151,6,140,0,1054387,4294967295,18446744073709551615,0,0
15,149,2,148,0,8865991,4294967295,18446744073709551615,0,0
7,150,2,150,0,834367,4294967295,18446744073709551615,0,0
8,148,8,149,0,3945586,4294967295,18446744073709551615,0,0
5,147,5,149,0,1771664,4294967295,18446744073709551615,0,0
7,148,4,147,0,14851650,4294967295,18446744073709551615,0,0
13,152,2,143,0,5304908,4294967295,18446744073709551615,0,0
11,157,1,152,0,13884192,4294967295,18446744073709551615,0,0
14,154,0,149,0,13596760,4294967295,18446744073709551615,0,0
12,153,2,146,0,7526781,4294967295,18446744073709551615,0,0
10,158,7,146,0,6137501,4294967295,18446744073709551615,0,0
12,148,4,146,0,51586,4294967295,18446744073709551615,0,0
16,151,8,142,0,14425174,4294967295,18446744073709551615,0,0
14,152,5,142,0,6544025,4294967295,18446744073709551615,0,0
11,152,5,147,0,3373667,4294967295,18446744073709551615,0,0
13,151,4,144,0,3832700,4294967295,18446744073709551615,0,0
