version,nBlocks,reserved0,blockId_01,jammingState_01,antStatus_01,antPower_01,postStatus_01,reserved1_01,noisePerMS_01,agcCnt_01,jamInd_01,ofsI_01,magI_01,ofsQ_01,magQ_01,reserved2_01,blockId_02,jammingState_02,antStatus_02,antPower_02,postStatus_02,reserved1_02,noisePerMS_02,agcCnt_02,jamInd_02,ofsI_02,magI_02,ofsQ_02,magQ_02,reserved2_02
0,2,0,0,0,1,2,0,0,93,5265,5,16,150,3,150,0,1,0,1,2,0,0,52,4563,6,15,190,15,203,0
0,2,0,0,0,1,2,0,0,93,5265,5,15,151,1,149,0,1,0,1,2,0,0,52,4563,5,8,163,16,142,0
0,2,0,0,0,1,2,0,0,93,5265,4,13,150,1,147,0,1,0,1,2,0,0,52,4563,3,27,162,20,197,0
0,2,0,0,0,1,2,0,0,92,5265,4,7,155,4,152,0,1,0,1,2,0,0,52,4563,6,6,215,-1,198,0
0,2,0,0,0,1,2,0,0,92,5265,6,11,151,3,146,0,1,0,1,2,0,0,52,4563,2,14,207,11,183,0
0,2,0,0,0,1,2,0,0,92,5265,5,-1,149,3,146,0,1,0,1,2,0,0,52,4563,6,20,167,23,169,0
0,2,0,0,0,1,2,0,0,92,5265,7,10,152,4,142,0,1,0,1,2,0,0,52,4563,5,5,180,17,169,0
0,2,0,0,0,1,2,0,0,92,5265,5,9,150,3,145,0,1,0,1,2,0,0,52,4563,5,28,202,7,183,0
0,2,0,0,0,1,2,0,0,92,5265,6,11,150,4,145,0,1,0,1,2,0,0,52,4563,7,21,209,10,204,0
0,2,0,0,0,1,2,0,0,91,5265,4,13,151,1,146,0,1,0,1,2,0,0,56,4563,3,10,230,10,174,0
0,2,0,0,0,1,2,0,0,91,5265,6,11,151,4,148,0,1,0,1,2,0,0,55,4563,2,23,170,21,158,0
0,2,0,0,0,1,2,0,0,91,5265,4,2,150,0,144,0,1,0,1,2,0,0,55,4563,5,27,145,10,140,0
0,2,0,0,0,1,2,0,0,91,5265,5,15,148,4,145,0,1,0,1,2,0,0,55,4563,5,29,164,28,136,0
0,2,0,0,0,1,2,0,0,91,5265,5,9,146,0,146,0,1,0,1,2,0,0,59,4563,7,26,191,11,160,0
0,2,0,0,0,1,2,0,0,91,5265,6,9,150,2,147,0,1,0,1,2,0,0,59,4563,6,19,168,19,168,0
0,2,0,0,0,1,2,0,0,91,5265,7,8,146,3,144,0,1,0,1,2,0,0,59,4563,3,24,147,23,151,0
0,2,0,0,0,1,2,0,0,91,5265,5,7,162,2,154,0,1,0,1,2,0,0,59,4563,5,23,221,-4,219,0
0,2,0,0,0,1,2,0,0,91,5265,6,11,148,6,149,0,1,0,1,2,0,0,55,4563,5,19,185,0,174,0
0,2,0,0,0,1,2,0,0,84,5265,5,11,156,6,148,0,1,0,1,2,0,0,55,4563,2,27,203,21,187,0
0,2,0,0,0,1,2,0,0,84,5265,7,9,166,0,153,0,1,0,1,2,0,0,51,4563,4,17,146,18,153,0
0,2,0,0,0,1,2,0,0,84,5265,5,9,164,-1,154,0,1,0,1,2,0,0,51,4563,4,25,131,18,140,0
0,2,0,0,0,1,2,0,0,84,5265,4,11,154,0,151,0,1,0,1,2,0,0,55,4914,3,12,153,3,158,0
0,2,0,0,0,1,2,0,0,84,5265,5,5,152,5,146,0,1,0,1,2,0,0,54,4914,3,12,170,6,170,0
0,2,0,0,0,1,2,0,0,84,5265,5,12,152,5,151,0,1,0,1,2,0,0,54,4914,8,13,199,7,201,0
0,2,0,0,0,1,2,0,0,84,5265,4,11,149,1,142,0,1,0,1,2,0,0,58,4914,7,18,162,6,180,0
0,2,0,0,0,1,2,0,0,84,5265,5,16,153,0,145,0,1,0,1,2,0,0,58,4914,4,16,158,10,178,0
0,2,0,0,0,1,2,0,0,83,5265,6,3,154,4,148,0,1,0,1,2,0,0,58,4914,11,9,180,6,167,0
0,2,0,0,0,1,2,0,0,83,5265,5,13,152,4,151,0,1,0,1,2,0,0,58,4914,4,14,158,7,154,0
0,2,0,0,0,1,2,0,0,83,5265,9,10,150,5,149,0,1,0,1,2,0,0,54,4914,4,16,162,13,174,0
0,2,0,0,0,1,2,0,0,83,5265,6,6,151,6,150,0,1,0,1,2,0,0,54,4914,8,19,163,4,156,0
0,2,0,0,0,1,2,0,0,83,5265,5,9,150,5,143,0,1,0,1,2,0,0,54,4914,4,20,167,1,186,0
0,2,0,0,0,1,2,0,0,83,5265,6,9,153,2,146,0,1,0,1,2,0,0,54,4914,6,13,202,13,200,0
0,2,0,0,0,1,2,0,0,83,5265,5,17,152,2,148,0,1,0,1,2,0,0,53,4914,7,7,179,4,157,0
0,2,0,0,0,1,2,0,0,83,5265,4,2,150,4,144,0,1,0,1,2,0,0,50,4914,6,21,158,11,166,0
0,2,0,0,0,1,2,0,0,83,5265,4,14,152,1,145,0,1,0,1,2,0,0,53,4914,6,15,152,9,147,0
0,2,0,0,0,1,2,0,0,83,5265,6,15,153,1,145,0,1,0,1,2,0,0,54,4914,5,17,181,3,163,0
0,2,0,0,0,1,2,0,0,83,5265,9,11,150,6,146,0,1,0,1,2,0,0,54,4914,3,14,175,10,143,0
0,2,0,0,0,1,2,0,0,83,5265,5,17,151,0,149,0,1,0,1,2,0,0,54,4914,7,16,175,10,168,0
0,2,0,0,0,1,2,0,0,83,5265,8,-2,150,5,142,0,1,0,1,2,0,0,54,4914,5,25,195,2,195,0
0,2,0,0,0,1,2,0,0,83,5265,4,14,148,2,151,0,1,0,1,2,0,0,54,4914,4,15,202,2,181,0
0,2,0,0,0,1,2,0,0,83,5265,4,15,151,2,147,0,1,0,1,2,0,0,54,4914,6,15,191,6,167,0
0,2,0,0,0,1,2,0,0,83,5265,5,14,150,0,146,0,1,0,1,2,0,0,58,4914,4,15,213,2,174,0
0,2,0,0,0,1,2,0,0,83,5265,5,11,149,3,144,0,1,0,1,2,0,0,57,4914,5,21,181,10,172,0
0,2,0,0,0,1,2,0,0,83,5265,5,16,151,0,145,0,1,0,1,2,0,0,57,4914,4,17,213,7,216,0
0,2,0,0,0,1,2,0,0,83,5265,5,11,146,4,144,0,1,0,1,2,0,0,50,4563,4,22,140,10,130,0
0,2,0,0,0,1,2,0,0,83,5265,6,11,148,5,143,0,1,0,1,2,0,0,50,4914,4,17,173,7,151,0
0,2,0,0,0,1,2,0,0,83,5265,5,12,146,0,145,0,1,0,1,2,0,0,50,4914,4,11,188,9,197,0
0,2,0,0,0,1,2,0,0,84,5265,5,15,149,4,145,0,1,0,1,2,0,0,54,4914,4,24,205,-2,212,0
0,2,0,0,0,1,2,0,0,84,5265,4,15,151,5,145,0,1,0,1,2,0,0,54,4914,4,15,202,3,194,0
0,2,0,0,0,1,2,0,0,84,5265,5,12,151,5,148,0,1,0,1,2,0,0,54,4914,4,11,199,3,187,0
0,2,0,0,0,1,2,0,0,84,5265,5,14,150,5,146,0,1,0,1,2,0,0,54,4563,3,20,199,-6,202,0
0,2,0,0,0,1,2,0,0,84,5265,4,14,150,4,141,0,1,0,1,2,0,0,50,4914,6,15,172,1,154,0
0,2,0,0,0,1,2,0,0,84,5265,5,12,150,4,143,0,1,0,1,2,0,0,54,4914,6,10,192,8,195,0
0,2,0,0,0,1,2,0,0,84,5265,4,17,152,8,148,0,1,0,1,2,0,0,57,4914,8,17,196,0,202,0
0,2,0,0,0,1,2,0,0,84,5265,6,2,149,4,146,0,1,0,1,2,0,0,57,4914,8,14,164,6,153,0
0,2,0,0,0,1,2,0,0,84,5265,5,10,148,1,147,0,1,0,1,2,0,0,57,4914,6,14,155,17,150,0
0,2,0,0,0,1,2,0,0,83,5265,5,12,148,5,145,0,1,0,1,2,0,0,57,4914,7,18,164,10,184,0
0,2,0,0,0,1,2,0,0,83,5265,5,10,149,2,146,0,1,0,1,2,0,0,53,4914,6,12,150,19,146,0
0,2,0,0,0,1,2,0,0,83,5265,5,8,149,9,147,0,1,0,1,2,0,0,53,4914,6,17,175,7,154,0
0,2,0,0,0,1,2,0,0,83,5265,5,14,152,3,147,0,1,0,1,2,0,0,54,4914,7,20,159,10,160,0
0,2,0,0,0,1,2,0,0,83,5265,4,5,148,3,145,0,1,0,1,2,0,0,57,4914,5,12,170,6,161,0
0,2,0,0,0,1,2,0,0,83,5265,4,9,148,8,144,0,1,0,1,2,0,0,57,4914,7,14,165,7,155,0
0,2,0,0,0,1,2,0,0,83,5265,7,6,152,5,146,0,1,0,1,2,0,0,57,4914,6,20,179,8,182,0
0,2,0,0,0,1,2,0,0,83,5265,6,7,147,1,142,0,1,0,1,2,0,0,57,4914,8,11,203,2,172,0
0,2,0,0,0,1,2,0,0,83,5265,4,4,151,0,144,0,1,0,1,2,0,0,53,4914,7,23,187,4,189,0
