msgVer,bootType,cpuLoad,cpuLoadMax,memUsage,memUsageMax,ioUsage,ioUsageMax,runTime,noticeCount,warnCount,errorCount,tempValue,reserved0
1,1,54,54,12,27,16,74,322,14,0,0,28,0
1,1,52,54,12,27,15,74,323,14,0,0,30,0
1,1,51,54,12,27,15,74,324,14,0,0,28,0
1,1,54,54,12,27,16,74,325,14,0,0,30,0
1,1,56,56,12,27,15,74,326,14,0,0,29,0
1,1,52,56,12,27,15,74,327,14,0,0,30,0
1,1,53,56,12,27,15,74,328,14,0,0,28,0
1,1,52,56,12,27,16,74,329,14,0,0,27,0
1,1,51,56,12,27,15,74,330,14,0,0,30,0
1,1,51,56,12,27,19,74,331,14,0,0,27,0
1,1,51,56,12,27,15,74,332,14,0,0,31,0
1,1,49,56,12,27,15,74,333,14,0,0,30,0
1,1,49,56,12,27,15,74,334,14,0,0,30,0
1,1,51,56,12,27,15,74,335,14,0,0,29,0
1,1,52,56,12,27,15,74,336,14,0,0,27,0
1,1,50,56,12,27,15,74,337,14,0,0,30,0
1,1,49,56,12,27,15,74,338,14,0,0,29,0
1,1,48,56,12,27,15,74,339,14,0,0,31,0
1,1,49,56,12,27,15,74,340,14,0,0,28,0
1,1,48,56,12,27,16,74,341,14,0,0,31,0
1,1,48,56,12,27,15,74,342,14,0,0,31,0
1,1,49,56,12,27,16,74,343,14,0,0,28,0
1,1,49,56,12,27,15,74,344,14,0,0,30,0
1,1,51,56,12,27,19,74,345,14,0,0,29,0
1,1,51,56,12,27,15,74,346,14,0,0,29,0
1,1,50,56,12,27,15,74,347,14,0,0,30,0
1,1,53,56,12,27,15,74,348,14,0,0,30,0
1,1,54,56,12,27,15,74,349,14,0,0,29,0
1,1,50,56,12,27,15,74,350,14,0,0,29,0
1,1,50,56,12,27,15,74,351,14,0,0,28,0
1,1,51,56,12,27,19,74,352,14,0,0,30,0
1,1,51,56,12,27,17,74,353,14,0,0,28,0
1,1,52,56,12,27,15,74,354,14,0,0,30,0
1,1,52,56,12,27,15,74,355,14,0,0,28,0
1,1,51,56,12,27,15,74,356,14,0,0,29,0
1,1,51,56,12,27,18,74,357,14,0,0,29,0
1,1,53,56,12,27,15,74,358,14,0,0,30,0
1,1,52,56,12,27,15,74,359,14,0,0,30,0
1,1,53,56,12,27,15,74,360,14,0,0,29,0
1,1,53,56,12,27,16,74,361,14,0,0,29,0
1,1,53,56,12,27,16,74,362,14,0,0,30,0
1,1,52,56,12,27,16,74,363,14,0,0,29,0
1,1,52,56,12,27,17,74,364,14,0,0,27,0
1,1,53,56,12,27,19,74,365,14,0,0,30,0
1,1,53,56,12,27,15,74,366,14,0,0,30,0
1,1,53,56,12,27,15,74,367,14,0,0,30,0
1,1,53,56,12,27,15,74,368,14,0,0,29,0
1,1,52,56,12,27,16,74,369,14,0,0,29,0
1,1,52,56,12,27,16,74,370,14,0,0,30,0
1,1,51,56,12,27,18,74,371,14,0,0,30,0
1,1,51,56,12,27,15,74,372,14,0,0,30,0
1,1,49,56,12,27,18,74,373,14,0,0,28,0
1,1,48,56,12,27,15,74,374,14,0,0,28,0
1,1,48,56,12,27,15,74,375,14,0,0,30,0
1,1,51,56,12,27,15,74,376,14,0,0,32,0
1,1,50,56,12,27,15,74,377,14,0,0,30,0
1,1,51,56,12,27,15,74,378,14,0,0,30,0
1,1,50,56,12,27,19,74,379,14,0,0,28,0
1,1,50,56,12,27,17,74,380,14,0,0,28,0
1,1,52,56,12,27,16,74,381,14,0,0,30,0
