iTOW,clkB,clkD,tAcc,fAcc
94417000,-547564,68,3,409
94418000,-547496,69,3,447
94419000,-547427,69,3,430
94420000,-547358,69,3,409
94421000,-547289,69,3,440
94422000,-547220,68,3,424
94423000,-547152,69,3,422
94424000,-547082,70,3,434
94425000,-547012,70,3,433
94426000,-546942,71,3,477
94427000,-546871,70,3,510
94428000,-546801,70,3,461
94429000,-546731,69,3,489
94430000,-546662,70,3,494
94431000,-546592,70,3,487
94432000,-546523,69,3,455
94433000,-546453,69,3,502
94434000,-546384,70,3,545
94435000,-546314,70,3,503
94436000,-546243,71,3,623
94437000,-546172,70,3,626
94438000,-546102,70,3,578
94439000,-546032,70,3,474
94440000,-545962,70,3,534
94441000,-545892,69,3,495
94442000,-545824,69,3,537
94443000,-545756,68,3,521
94444000,-545686,70,3,526
94445000,-545617,70,3,535
94446000,-545547,69,3,505
94447000,-545478,70,3,523
94448000,-545408,70,3,554
94449000,-545339,69,3,518
94450000,-545271,69,3,538
94451000,-545202,69,3,480
94452000,-545133,70,3,473
94453000,-545064,69,3,454
94454000,-544994,70,3,441
94455000,-544925,69,3,410
94456000,-544856,70,3,398
94457000,-544786,70,3,391
94458000,-544715,71,3,403
94459000,-544645,70,3,403
94460000,-544575,70,3,411
94461000,-544505,70,3,382
94462000,-544435,70,3,380
94463000,-544365,70,3,396
94464000,-544295,70,3,398
94465000,-544224,71,3,420
94466000,-544154,70,3,384
94467000,-544084,70,3,390
94468000,-544013,71,3,406
94469000,-543942,71,3,454
94470000,-543871,71,3,497
94471000,-543800,71,3,486
94472000,-543728,72,3,505
94473000,-543656,72,3,545
94474000,-543586,71,3,526
94475000,-543515,70,3,531
94476000,-543444,71,3,545
94477000,-543374,70,3,577
94478000,-543303,71,3,583
94479000,-543232,71,3,557
94480000,-543161,71,3,580
94481000,-543090,71,3,548
94482000,-543019,71,3,538
94483000,-542947,71,3,536
94484000,-542876,71,3,579
94485000,-542805,71,3,576
94486000,-542733,72,3,577
94487000,-542662,72,3,541
94488000,-542590,72,3,538
94489000,-542518,72,3,513
94490000,-542445,73,3,546
94491000,-542372,73,3,520
94492000,-542300,73,3,533
94493000,-542228,73,3,579
94494000,-542155,73,3,527
94495000,-542083,73,3,544
94496000,-542010,73,3,594
94497000,-541937,73,3,586
94498000,-541864,73,3,579
94499000,-541790,73,3,504
94500000,-541715,75,3,454
94501000,-541641,74,3,482
94502000,-541566,75,3,451
94503000,-541491,76,3,662
94504000,-541416,74,3,922
94505000,-541345,71,3,508
94506000,-541276,70,3,563
94507000,-541207,70,3,592
94508000,-541138,69,3,626
94509000,-541068,70,4,626
94510000,-540998,71,4,623
94511000,-540927,71,4,631
94512000,-540856,71,4,704
94513000,-540784,72,4,660
94514000,-540713,71,4,576
94515000,-540642,71,4,571
94516000,-540572,70,4,589
94517000,-540501,70,4,560
94518000,-540432,69,4,583
94519000,-540364,67,4,544
94520000,-540298,67,4,538
94521000,-540231,66,3,510
94522000,-540165,66,3,517
94523000,-540099,67,3,496
94524000,-540032,67,3,523
94525000,-539966,66,3,517
94526000,-539900,66,3,553
94527000,-539835,65,3,506
94528000,-539770,65,3,494
94529000,-539705,65,3,444
94530000,-539639,66,3,456
94531000,-539574,64,3,436
94532000,-539511,63,3,437
94533000,-539446,66,3,677
94534000,-539382,64,3,433
94535000,-539318,63,3,419
94536000,-539255,63,3,390
94537000,-539191,64,3,422
94538000,-539127,63,3,429
94539000,-539064,62,3,408
94540000,-539002,63,3,432
94541000,-538938,63,3,434
94542000,-538875,63,3,401
94543000,-538812,63,3,425
94544000,-538748,63,3,410
94545000,-538685,64,3,412
94546000,-538621,63,3,400
94547000,-538558,63,3,428
94548000,-538495,63,3,408
94549000,-538431,64,3,399
94550000,-538367,64,3,371
94551000,-538304,63,3,392
94552000,-538241,63,3,413
94553000,-538178,63,3,396
94554000,-538114,64,3,431
94555000,-538051,63,3,452
94556000,-537988,63,3,465
94557000,-537924,64,3,485
94558000,-537860,64,3,499
94559000,-537795,64,3,513
94560000,-537731,64,3,554
94561000,-537667,64,3,628
94562000,-537601,65,3,686
94563000,-537534,67,3,673
94564000,-537469,64,3,526
94565000,-537405,64,3,548
94566000,-537341,64,3,634
94567000,-537277,64,3,659
94568000,-537213,64,3,660
94569000,-537149,64,3,591
94570000,-537085,64,3,555
94571000,-537020,65,3,572
94572000,-536956,64,3,500
94573000,-536892,64,3,515
94574000,-536828,64,3,470
94575000,-536763,65,3,464
94576000,-536700,64,3,510
94577000,-536636,63,3,517
94578000,-536573,64,3,505
94579000,-536509,64,3,534
94580000,-536445,65,3,518
94581000,-536380,65,3,516
94582000,-536315,65,3,523
