iTOW,gDOP,pDOP,tDOP,vDOP,hDOP,nDOP,eDOP
94417000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94418000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94419000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94420000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94421000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94422000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94423000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94424000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94425000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94426000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94427000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94428000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94429000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94430000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94431000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94432000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94433000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94434000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94435000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94436000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94437000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94438000,1.24,1.06,0.65,0.92,0.51,0.34,0.38
94439000,1.24,1.06,0.65,0.92,0.51,0.34,0.38
94440000,1.24,1.06,0.65,0.92,0.52,0.33,0.4
94441000,1.24,1.06,0.65,0.92,0.52,0.33,0.4
94442000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94443000,1.22,1.04,0.63,0.91,0.51,0.33,0.38
94444000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94445000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94446000,1.24,1.06,0.65,0.92,0.52,0.33,0.4
94447000,1.22,1.04,0.63,0.91,0.51,0.33,0.38
94448000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94449000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94450000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94451000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94452000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94453000,1.27,1.08,0.67,0.94,0.52,0.34,0.39
94454000,1.22,1.04,0.63,0.91,0.51,0.33,0.38
94455000,1.22,1.04,0.63,0.91,0.51,0.33,0.38
94456000,1.24,1.06,0.65,0.92,0.52,0.33,0.4
94457000,1.24,1.06,0.65,0.92,0.52,0.33,0.4
94458000,1.22,1.04,0.63,0.91,0.51,0.33,0.38
94459000,1.26,1.07,0.66,0.94,0.53,0.33,0.41
94460000,1.26,1.07,0.66,0.94,0.53,0.33,0.41
94461000,1.26,1.07,0.66,0.94,0.53,0.33,0.41
94462000,1.26,1.07,0.66,0.94,0.53,0.33,0.41
94463000,1.26,1.07,0.66,0.94,0.53,0.33,0.41
94464000,1.26,1.07,0.66,0.94,0.53,0.33,0.41
94465000,1.26,1.07,0.66,0.94,0.53,0.33,0.41
94466000,1.26,1.07,0.66,0.94,0.53,0.33,0.41
94467000,1.26,1.07,0.66,0.94,0.53,0.33,0.41
94468000,1.26,1.07,0.66,0.94,0.53,0.33,0.41
94469000,1.26,1.07,0.66,0.94,0.53,0.33,0.41
94470000,1.26,1.07,0.66,0.94,0.53,0.33,0.41
94471000,1.26,1.07,0.66,0.94,0.53,0.33,0.41
94472000,1.26,1.07,0.66,0.94,0.53,0.33,0.41
94473000,1.26,1.07,0.66,0.94,0.53,0.33,0.41
94474000,1.26,1.07,0.66,0.94,0.53,0.33,0.41
94475000,1.26,1.07,0.66,0.94,0.53,0.33,0.41
94476000,1.31,1.12,0.69,0.97,0.56,0.35,0.44
94477000,1.31,1.12,0.69,0.97,0.56,0.35,0.44
94478000,1.37,1.16,0.73,1.0,0.58,0.35,0.46
94479000,1.38,1.17,0.73,1.0,0.6,0.38,0.47
94480000,1.38,1.17,0.73,1.0,0.6,0.38,0.47
94481000,1.38,1.17,0.73,1.0,0.6,0.38,0.47
94482000,1.38,1.17,0.73,1.0,0.6,0.38,0.47
94483000,1.52,1.28,0.83,1.1,0.65,0.38,0.52
94484000,1.52,1.28,0.83,1.1,0.65,0.38,0.52
94485000,1.38,1.17,0.73,1.0,0.6,0.38,0.47
94486000,1.45,1.22,0.78,1.05,0.63,0.38,0.5
94487000,1.46,1.23,0.79,1.05,0.65,0.41,0.51
94488000,1.49,1.26,0.81,1.07,0.67,0.41,0.53
94489000,1.39,1.18,0.74,1.0,0.63,0.41,0.48
94490000,1.49,1.26,0.81,1.07,0.67,0.41,0.53
94491000,1.67,1.39,0.91,1.16,0.77,0.42,0.65
94492000,1.67,1.39,0.91,1.16,0.77,0.42,0.65
94493000,1.88,1.56,1.05,1.3,0.85,0.42,0.74
94494000,1.42,1.2,0.76,1.02,0.63,0.37,0.51
94495000,1.45,1.22,0.78,1.04,0.65,0.37,0.53
94496000,1.67,1.39,0.91,1.16,0.77,0.42,0.65
94497000,1.42,1.2,0.76,1.02,0.63,0.38,0.51
94498000,1.36,1.16,0.72,0.98,0.62,0.37,0.49
94499000,1.67,1.39,0.91,1.16,0.77,0.42,0.65
94500000,1.56,1.31,0.85,1.11,0.69,0.38,0.58
94501000,1.88,1.56,1.05,1.3,0.85,0.42,0.74
94502000,1.88,1.56,1.05,1.3,0.85,0.42,0.74
94503000,1.64,1.38,0.88,1.19,0.7,0.38,0.59
94504000,1.72,1.44,0.94,1.25,0.72,0.39,0.6
94505000,1.61,1.35,0.87,1.13,0.74,0.42,0.61
94506000,1.5,1.26,0.81,1.08,0.66,0.37,0.54
94507000,1.5,1.26,0.81,1.08,0.66,0.37,0.54
94508000,1.5,1.26,0.81,1.08,0.66,0.37,0.54
94509000,1.5,1.26,0.81,1.08,0.66,0.37,0.54
94510000,1.75,1.46,0.97,1.23,0.78,0.42,0.66
94511000,1.5,1.26,0.81,1.08,0.66,0.37,0.54
94512000,1.42,1.2,0.76,1.02,0.63,0.37,0.51
94513000,1.42,1.2,0.76,1.02,0.63,0.37,0.51
94514000,1.61,1.35,0.87,1.13,0.74,0.42,0.61
94515000,1.43,1.21,0.77,1.03,0.64,0.37,0.52
94516000,1.42,1.2,0.76,1.02,0.63,0.37,0.51
94517000,1.57,1.32,0.85,1.12,0.7,0.39,0.58
94518000,1.41,1.19,0.75,1.02,0.61,0.35,0.5
94519000,1.41,1.19,0.75,1.02,0.61,0.35,0.5
94520000,1.57,1.32,0.85,1.12,0.7,0.39,0.58
94521000,1.41,1.19,0.75,1.02,0.61,0.35,0.5
