version,reserved0,iTOW,ecefX,ecefY,ecefZ,invalidEcef,pAcc
0,0,94417000,-241820647.17,538576000.4,240577298.48,0,1431.6
0,0,94418000,-241820644.73,538575997.32,240577298.22,0,1425.6
0,0,94419000,-241820645.84,538575991.38,240577304.61,0,1417.6
0,0,94420000,-241820644.2,538575986.53,240577306.81,0,1409.7
0,0,94421000,-241820642.27,538575986.01,240577305.41,0,1408.1
0,0,94422000,-241820637.13,538575987.23,240577306.23,0,1404.2
0,0,94423000,-241820634.2,538575990.5,240577306.83,0,1401.4
0,0,94424000,-241820635.82,538575992.87,240577308.52,0,1403.6
0,0,94425000,-241820634.78,538575994.83,240577307.59,0,1404.5
0,0,94426000,-241820642.42,538575995.08,240577298.43,0,1411.0
0,0,94427000,-241820649.23,538576000.94,240577287.38,0,1419.5
0,0,94428000,-241820649.29,538576009.41,240577286.15,0,1423.8
0,0,94429000,-241820649.38,538576014.91,240577288.09,0,1432.6
0,0,94430000,-241820652.03,538576020.89,240577288.44,0,1440.9
0,0,94431000,-241820651.72,538576027.89,240577287.43,0,1448.2
0,0,94432000,-241820648.1,538576028.63,240577295.74,0,1453.3
0,0,94433000,-241820648.5,538576038.4,240577300.78,0,1461.0
0,0,94434000,-241820644.44,538576046.88,240577310.01,0,1475.8
0,0,94435000,-241820645.11,538576048.95,240577329.31,0,1486.1
0,0,94436000,-241820644.6,538576045.41,240577355.29,0,1514.9
0,0,94437000,-241820650.16,538576037.45,240577382.88,0,1544.2
0,0,94438000,-241820656.28,538576017.88,240577404.62,0,1566.8
0,0,94439000,-241820669.84,538576002.62,240577435.11,0,1567.5
0,0,94440000,-241820697.84,538575992.8,240577461.39,0,1573.8
0,0,94441000,-241820723.37,538575971.82,240577492.59,0,1567.7
0,0,94442000,-241820748.75,538575943.43,240577521.8,0,1566.9
0,0,94443000,-241820781.34,538575904.62,240577554.29,0,1566.6
0,0,94444000,-241820813.09,538575867.7,240577588.21,0,1565.3
0,0,94445000,-241820844.94,538575817.23,240577625.15,0,1562.6
0,0,94446000,-241820879.62,538575769.5,240577657.17,0,1557.7
0,0,94447000,-241820923.91,538575721.54,240577695.42,0,1555.0
0,0,94448000,-241820961.36,538575673.77,240577731.37,0,1552.4
0,0,94449000,-241821009.69,538575628.0,240577768.65,0,1549.6
0,0,94450000,-241821053.01,538575580.1,240577808.25,0,1549.5
0,0,94451000,-241821100.4,538575535.54,240577848.15,0,1536.3
0,0,94452000,-241821151.64,538575482.08,240577890.4,0,1517.0
0,0,94453000,-241821202.33,538575423.23,240577939.95,0,1489.0
0,0,94454000,-241821248.04,538575363.33,240577981.17,0,1461.3
0,0,94455000,-241821290.41,538575315.7,240578016.63,0,1426.7
0,0,94456000,-241821340.67,538575265.27,240578056.96,0,1397.9
0,0,94457000,-241821391.77,538575210.7,240578098.46,0,1371.9
0,0,94458000,-241821436.34,538575154.29,240578139.25,0,1350.6
0,0,94459000,-241821481.47,538575105.71,240578174.16,0,1335.6
0,0,94460000,-241821527.3,538575059.78,240578207.11,0,1322.6
0,0,94461000,-241821575.66,538575007.35,240578245.37,0,1308.6
0,0,94462000,-241821619.28,538574960.54,240578286.38,0,1294.2
0,0,94463000,-241821666.68,538574900.88,240578330.0,0,1286.5
0,0,94464000,-241821719.91,538574848.42,240578374.11,0,1283.7
0,0,94465000,-241821781.0,538574798.85,240578409.1,0,1285.5
0,0,94466000,-241821842.44,538574753.89,240578438.91,0,1283.0
0,0,94467000,-241821905.66,538574713.12,240578470.21,0,1281.5
0,0,94468000,-241821979.12,538574657.76,240578498.78,0,1280.6
0,0,94469000,-241822048.35,538574609.15,240578513.45,0,1285.0
0,0,94470000,-241822115.25,538574567.27,240578508.68,0,1298.3
0,0,94471000,-241822187.1,538574527.16,240578495.01,0,1314.6
0,0,94472000,-241822271.39,538574485.87,240578479.23,0,1330.6
0,0,94473000,-241822353.47,538574436.51,240578446.0,0,1354.1
0,0,94474000,-241822436.52,538574406.86,240578407.17,0,1372.5
0,0,94475000,-241822517.31,538574393.03,240578360.62,0,1387.3
0,0,94476000,-241822587.52,538574371.52,240578315.18,0,1402.4
0,0,94477000,-241822656.66,538574340.56,240578268.46,0,1424.3
0,0,94478000,-241822730.6,538574328.35,240578213.73,0,1446.2
0,0,94479000,-241822797.47,538574324.92,240578150.1,0,1464.9
0,0,94480000,-241822852.98,538574322.48,240578085.05,0,1485.6
0,0,94481000,-241822908.68,538574315.77,240578017.83,0,1499.7
0,0,94482000,-241822964.88,538574314.45,240577952.34,0,1509.3
0,0,94483000,-241823027.77,538574311.56,240577880.75,0,1517.0
0,0,94484000,-241823086.74,538574295.94,240577801.97,0,1534.7
0,0,94485000,-241823143.42,538574303.6,240577733.54,0,1553.4
0,0,94486000,-241823185.08,538574320.66,240577660.55,0,1571.2
0,0,94487000,-241823218.29,538574330.91,240577585.67,0,1574.0
0,0,94488000,-241823252.64,538574333.83,240577511.05,0,1574.9
0,0,94489000,-241823279.79,538574344.61,240577428.54,0,1576.1
0,0,94490000,-241823305.85,538574370.45,240577343.19,0,1579.2
0,0,94491000,-241823323.71,538574395.39,240577263.07,0,1576.9
0,0,94492000,-241823324.88,538574411.19,240577192.25,0,1579.0
0,0,94493000,-241823330.63,538574417.15,240577127.45,0,1590.1
0,0,94494000,-241823341.35,538574421.67,240577059.53,0,1592.8
0,0,94495000,-241823338.98,538574418.81,240576996.7,0,1599.9
0,0,94496000,-241823331.26,538574420.41,240576959.35,0,1622.9
0,0,94497000,-241823324.74,538574425.35,240576940.85,0,1642.7
0,0,94498000,-241823308.53,538574417.68,240576934.35,0,1657.1
0,0,94499000,-241823297.77,538574422.05,240576944.76,0,1651.1
0,0,94500000,-241823287.45,538574442.17,240576969.67,0,1637.7
0,0,94501000,-241823278.58,538574397.23,240576988.51,0,1626.3
0,0,94502000,-241823234.55,538574396.18,240577016.6,0,1609.9
0,0,94503000,-241823174.94,538574404.96,240577048.93,0,1618.4
0,0,94504000,-241823110.14,538574427.87,240577070.89,0,1681.5
0,0,94505000,-241823035.17,538574441.59,240577078.65,0,1679.8
0,0,94506000,-241822962.72,538574475.36,240577074.63,0,1674.5
0,0,94507000,-241822926.31,538574515.51,240577075.0,0,1674.3
0,0,94508000,-241822907.93,538574553.81,240577079.99,0,1684.2
0,0,94509000,-241822890.71,538574599.33,240577079.55,0,1695.2
0,0,94510000,-241822876.64,538574624.92,240577076.66,0,1705.5
0,0,94511000,-241822864.29,538574639.72,240577073.44,0,1716.6
0,0,94512000,-241822847.78,538574658.95,240577055.18,0,1733.0
0,0,94513000,-241822822.7,538574702.03,240577045.38,0,1743.5
0,0,94514000,-241822798.17,538574748.31,240577041.7,0,1740.4
0,0,94515000,-241822781.26,538574777.77,240577026.19,0,1734.5
0,0,94516000,-241822761.55,538574814.36,240577014.13,0,1728.8
0,0,94517000,-241822738.35,538574856.18,240577001.19,0,1714.1
0,0,94518000,-241822702.58,538574886.84,240576992.69,0,1710.0
0,0,94519000,-241822668.0,538574918.28,240576972.37,0,1698.7
0,0,94520000,-241822635.09,538574945.11,240576939.86,0,1679.2
0,0,94521000,-241822603.01,538574980.31,240576917.67,0,1659.3
0,0,94522000,-241822570.16,538575016.35,240576906.17,0,1647.9
0,0,94523000,-241822536.09,538575044.68,240576894.44,0,1633.5
0,0,94524000,-241822500.42,538575061.65,240576888.55,0,1625.8
0,0,94525000,-241822466.14,538575104.15,240576868.89,0,1610.4
0,0,94526000,-241822422.93,538575138.59,240576840.74,0,1614.3
0,0,94527000,-241822373.82,538575182.54,240576820.28,0,1603.8
0,0,94528000,-241822314.88,538575222.04,240576802.65,0,1590.5
0,0,94529000,-241822250.43,538575277.51,240576777.33,0,1568.3
0,0,94530000,-241822185.63,538575324.65,240576743.54,0,1552.7
0,0,94531000,-241822119.17,538575374.08,240576722.25,0,1526.6
0,0,94532000,-241822056.28,538575423.25,240576692.1,0,1503.9
0,0,94533000,-241821992.28,538575469.87,240576648.46,0,1503.7
0,0,94534000,-241821929.9,538575514.18,240576596.74,0,1479.9
0,0,94535000,-241821858.59,538575566.91,240576553.47,0,1452.5
0,0,94536000,-241821793.23,538575625.79,240576516.48,0,1420.4
0,0,94537000,-241821725.86,538575688.42,240576482.12,0,1398.4
0,0,94538000,-241821663.82,538575747.98,240576439.86,0,1384.6
0,0,94539000,-241821591.77,538575814.38,240576390.75,0,1366.6
0,0,94540000,-241821509.74,538575863.19,240576340.69,0,1354.4
0,0,94541000,-241821432.85,538575923.47,240576300.35,0,1346.6
0,0,94542000,-241821363.45,538575971.82,240576272.58,0,1335.5
0,0,94543000,-241821296.47,538576011.02,240576241.89,0,1328.7
0,0,94544000,-241821223.34,538576060.55,240576211.17,0,1318.0
0,0,94545000,-241821135.53,538576105.61,240576180.63,0,1311.5
0,0,94546000,-241821060.06,538576147.24,240576159.44,0,1301.8
0,0,94547000,-241820977.62,538576191.35,240576151.91,0,1298.6
0,0,94548000,-241820896.61,538576230.18,240576140.98,0,1292.7
0,0,94549000,-241820825.09,538576272.16,240576137.24,0,1281.2
0,0,94550000,-241820749.78,538576301.68,240576142.87,0,1272.6
0,0,94551000,-241820686.93,538576333.21,240576157.27,0,1265.0
0,0,94552000,-241820613.64,538576363.96,240576180.86,0,1260.7
0,0,94553000,-241820528.35,538576388.83,240576206.97,0,1253.7
0,0,94554000,-241820443.26,538576414.59,240576234.9,0,1254.6
0,0,94555000,-241820357.63,538576436.95,240576259.36,0,1256.9
0,0,94556000,-241820280.75,538576462.51,240576286.39,0,1266.5
0,0,94557000,-241820209.73,538576483.1,240576326.35,0,1280.4
0,0,94558000,-241820140.05,538576497.92,240576377.35,0,1287.3
0,0,94559000,-241820075.77,538576500.82,240576438.1,0,1299.8
0,0,94560000,-241820022.71,538576499.53,240576501.54,0,1316.5
0,0,94561000,-241819996.46,538576498.2,240576570.26,0,1342.3
0,0,94562000,-241819990.67,538576474.95,240576639.17,0,1391.9
0,0,94563000,-241819992.5,538576443.2,240576724.9,0,1431.2
0,0,94564000,-241819989.97,538576372.4,240576783.31,0,1448.0
0,0,94565000,-241820047.04,538576340.48,240576823.84,0,1460.5
0,0,94566000,-241820101.6,538576301.63,240576871.18,0,1478.7
0,0,94567000,-241820159.93,538576263.62,240576923.59,0,1504.9
0,0,94568000,-241820212.52,538576215.71,240576981.07,0,1532.1
0,0,94569000,-241820269.92,538576161.99,240577037.54,0,1550.8
0,0,94570000,-241820329.1,538576105.36,240577095.78,0,1560.8
0,0,94571000,-241820394.05,538576053.86,240577139.67,0,1568.7
0,0,94572000,-241820451.71,538576000.2,240577181.39,0,1564.9
0,0,94573000,-241820508.55,538575938.12,240577223.13,0,1564.3
0,0,94574000,-241820570.21,538575878.32,240577275.61,0,1554.7
0,0,94575000,-241820636.57,538575829.09,240577340.42,0,1543.1
0,0,94576000,-241820686.15,538575759.04,240577400.74,0,1537.8
0,0,94577000,-241820738.18,538575699.46,240577457.78,0,1533.3
0,0,94578000,-241820790.38,538575646.27,240577508.34,0,1528.2
0,0,94579000,-241820830.69,538575578.38,240577557.18,0,1527.6
0,0,94580000,-241820884.5,538575516.0,240577621.09,0,1527.8
0,0,94581000,-241820937.92,538575453.29,240577694.87,0,1526.8
0,0,94582000,-241820977.33,538575392.74,240577766.97,0,1526.5
0,0,94583000,-241821014.3,538575334.22,240577825.34,0,1521.1
0,0,94584000,-241821082.53,538575293.41,240577872.3,0,1519.2
