version,reserved0,invalidLlh,iTOW,lon,lat,height,hMSL,hAcc,vAcc
0,0,0,94417000,114.180082309,22.30570575,19737.9,21351.0,780.6,1200.1
0,0,0,94418000,114.180082216,22.305705859,19701.6,21314.8,778.1,1194.5
0,0,0,94419000,114.18008255,22.305706563,19680.0,21293.1,774.9,1187.1
0,0,0,94420000,114.180082598,22.305706921,19641.1,21254.3,771.4,1179.9
0,0,0,94421000,114.180082448,22.305706848,19624.1,21237.3,771.0,1178.2
0,0,0,94422000,114.180081944,22.305706951,19618.1,21231.2,769.5,1174.5
0,0,0,94423000,114.180081554,22.305706939,19636.9,21250.0,768.3,1172.0
0,0,0,94424000,114.180081604,22.305706984,19669.4,21282.6,767.9,1174.9
0,0,0,94425000,114.180081434,22.30570686,19678.5,21291.7,767.6,1176.2
0,0,0,94426000,114.180082101,22.305705979,19674.8,21287.9,769.1,1183.0
0,0,0,94427000,114.18008247,22.305704777,19708.1,21321.2,771.3,1191.7
0,0,0,94428000,114.180082139,22.305704408,19775.2,21388.3,770.7,1197.2
0,0,0,94429000,114.180081928,22.305704397,19829.3,21442.4,772.8,1206.2
0,0,0,94430000,114.180081925,22.305704202,19891.2,21504.3,776.3,1213.8
0,0,0,94431000,114.180081619,22.305703903,19945.1,21558.3,779.7,1220.3
0,0,0,94432000,114.180081269,22.305704626,19969.2,21582.4,782.6,1224.6
0,0,0,94433000,114.180080917,22.305704735,20072.3,21685.5,787.0,1230.9
0,0,0,94434000,114.18008022,22.305705299,20163.6,21776.8,796.0,1242.7
0,0,0,94435000,114.180080197,22.305706837,20256.8,21869.9,806.3,1248.4
0,0,0,94436000,114.180080292,22.305709125,20323.6,21936.8,825.0,1270.6
0,0,0,94437000,114.180081101,22.305711602,20382.3,21995.4,843.7,1293.3
0,0,0,94438000,114.180082421,22.305713943,20322.8,21936.0,858.8,1310.5
0,0,0,94439000,114.180084228,22.305716778,20361.1,21974.3,863.5,1308.2
0,0,0,94440000,114.180087098,22.305718887,20484.1,22097.2,872.2,1310.0
0,0,0,94441000,114.180090192,22.305721792,20522.1,22135.3,873.1,1302.0
0,0,0,94442000,114.180093568,22.305724763,20489.6,22102.7,876.0,1299.1
0,0,0,94443000,114.180097995,22.305728234,20408.8,22022.0,878.0,1297.4
0,0,0,94444000,114.180102274,22.305731777,20346.4,21959.5,877.8,1296.0
0,0,0,94445000,114.1801071,22.305735994,20181.2,21794.3,876.5,1293.6
0,0,0,94446000,114.180112068,22.305739675,20031.4,21644.4,872.2,1290.7
0,0,0,94447000,114.180117896,22.305743748,19939.6,21552.7,868.7,1289.7
0,0,0,94448000,114.180123111,22.30574772,19814.8,21427.9,864.1,1289.6
0,0,0,94449000,114.180129209,22.305751587,19753.1,21366.2,860.0,1289.1
0,0,0,94450000,114.180134948,22.305755785,19663.4,21276.4,856.3,1291.4
0,0,0,94451000,114.180140915,22.305759846,19618.3,21231.3,846.2,1282.3
0,0,0,94452000,114.180147577,22.305764328,19521.6,21134.6,831.1,1269.0
0,0,0,94453000,114.180154404,22.305769597,19405.0,21018.0,811.9,1248.2
0,0,0,94454000,114.180160833,22.305774272,19229.2,20842.1,791.6,1228.3
0,0,0,94455000,114.180166477,22.305778129,19122.4,20735.3,768.5,1202.1
0,0,0,94456000,114.180172931,22.30578237,19040.2,20653.1,748.5,1180.7
0,0,0,94457000,114.180179625,22.305786826,18930.9,20543.8,730.9,1161.0
0,0,0,94458000,114.180185814,22.305791372,18778.4,20391.3,716.5,1144.9
0,0,0,94459000,114.18019174,22.305795174,18672.0,20284.9,706.0,1133.7
0,0,0,94460000,114.180197624,22.30579872,18583.0,20195.9,697.1,1124.0
0,0,0,94461000,114.180203989,22.305802877,18469.1,20081.9,687.3,1113.6
0,0,0,94462000,114.180209712,22.305807155,18395.0,20007.8,677.0,1103.0
0,0,0,94463000,114.18021628,22.305811999,18236.6,19849.4,670.0,1098.2
0,0,0,94464000,114.180223078,22.305816577,18163.0,19775.8,665.8,1097.6
0,0,0,94465000,114.180230457,22.305820192,18108.9,19721.7,663.8,1100.8
0,0,0,94466000,114.180237684,22.305823227,18075.4,19688.1,660.0,1100.3
0,0,0,94467000,114.180244902,22.305826229,18089.6,19702.4,656.9,1100.3
0,0,0,94468000,114.180253607,22.305829315,18009.3,19622.0,654.6,1100.7
0,0,0,94469000,114.180261668,22.305831089,17917.1,19529.8,655.2,1105.4
0,0,0,94470000,114.180269256,22.305831061,17799.0,19411.6,661.4,1117.2
0,0,0,94471000,114.180277212,22.305830164,17680.8,19293.5,672.2,1129.7
0,0,0,94472000,114.180286316,22.305828953,17591.9,19204.5,680.1,1143.6
0,0,0,94473000,114.180295545,22.305826568,17360.2,18972.8,692.2,1163.8
0,0,0,94474000,114.180304077,22.305823085,17277.3,18889.8,704.3,1178.0
0,0,0,94475000,114.180311779,22.305818494,17290.1,18902.6,714.2,1189.4
0,0,0,94476000,114.18031885,22.305814385,17202.1,18814.6,724.1,1201.0
0,0,0,94477000,114.180326202,22.305810479,17025.5,18638.0,738.2,1218.0
0,0,0,94478000,114.180333234,22.30580525,16994.9,18607.3,753.3,1234.5
0,0,0,94479000,114.180339291,22.305799102,16977.9,18590.2,767.0,1248.0
0,0,0,94480000,114.180344303,22.305792964,16920.8,18533.1,781.2,1263.6
0,0,0,94481000,114.1803495,22.305786776,16820.0,18432.4,791.7,1273.8
0,0,0,94482000,114.180354529,22.305780557,16773.4,18385.7,799.3,1280.3
0,0,0,94483000,114.180360211,22.305773782,16715.5,18327.8,806.6,1284.8
0,0,0,94484000,114.180366053,22.305766861,16508.2,18120.4,817.8,1298.7
0,0,0,94485000,114.180370766,22.305760109,16527.9,18140.1,828.5,1314.0
0,0,0,94486000,114.180373777,22.305752892,16552.8,18165.0,838.7,1328.6
0,0,0,94487000,114.18037631,22.305745849,16480.8,18093.1,841.1,1330.4
0,0,0,94488000,114.180379235,22.305739042,16352.5,17964.7,841.4,1331.3
0,0,0,94489000,114.18038121,22.305731429,16233.2,17845.4,842.6,1332.0
0,0,0,94490000,114.18038249,22.305723125,16226.1,17838.3,845.6,1333.7
0,0,0,94491000,114.18038308,22.3057154,16200.2,17812.4,846.1,1330.7
0,0,0,94492000,114.180382555,22.305708973,16069.2,17681.3,846.5,1332.9
0,0,0,94493000,114.180382828,22.305703292,15895.3,17507.5,850.2,1343.6
0,0,0,94494000,114.180383597,22.305697325,15716.3,17328.4,852.6,1345.4
0,0,0,94495000,114.180383501,22.305692199,15444.8,17056.9,856.5,1351.3
0,0,0,94496000,114.180382754,22.305689137,15287.2,16899.3,866.2,1372.4
0,0,0,94497000,114.18038198,22.305687528,15233.9,16846.1,876.9,1389.1
0,0,0,94498000,114.18038085,22.305687452,15083.1,16695.2,885.6,1400.6
0,0,0,94499000,114.180379724,22.305688336,15118.8,16730.9,885.5,1393.6
0,0,0,94500000,114.18037801,22.305689933,15344.0,16956.2,879.5,1381.5
0,0,0,94501000,114.180379011,22.305693037,15002.6,16614.7,873.4,1371.8
0,0,0,94502000,114.180375155,22.305696035,14933.5,16545.6,865.4,1357.5
0,0,0,94503000,114.180369528,22.305699299,14904.4,16516.6,872.4,1363.1
0,0,0,94504000,114.18036288,22.305701326,14935.5,16547.7,916.0,1410.1
0,0,0,94505000,114.180355697,22.305702598,14796.7,16408.9,934.1,1396.2
0,0,0,94506000,114.180347941,22.305702224,14791.9,16404.1,928.0,1393.8
0,0,0,94507000,114.180343121,22.305701511,14994.2,16606.4,925.3,1395.4
0,0,0,94508000,114.180339971,22.305700988,15266.7,16879.0,928.0,1405.5
0,0,0,94509000,114.180336637,22.30569977,15584.0,17196.3,932.2,1415.9
0,0,0,94510000,114.180334374,22.305698926,15735.7,17348.0,935.7,1425.8
0,0,0,94511000,114.180332692,22.305698367,15801.6,17413.9,939.3,1436.8
0,0,0,94512000,114.180330466,22.305696472,15832.0,17444.3,944.6,1452.9
0,0,0,94513000,114.180326533,22.305694658,16063.3,17675.6,948.6,1462.9
0,0,0,94514000,114.180322522,22.305693248,16347.0,17959.4,946.4,1460.6
0,0,0,94515000,114.180319854,22.305691269,16472.7,18085.1,939.8,1457.8
0,0,0,94516000,114.180316654,22.305689394,16661.1,18273.4,934.5,1454.5
0,0,0,94517000,114.180312937,22.305687331,16877.0,18489.3,925.0,1443.1
0,0,0,94518000,114.180308552,22.305686164,16967.9,18580.3,920.9,1440.9
0,0,0,94519000,114.180304241,22.305683969,17025.2,18637.5,912.3,1432.9
0,0,0,94520000,114.180300261,22.305680876,17003.5,18615.9,900.3,1417.4
0,0,0,94521000,114.180296021,22.305678371,17094.8,18707.2,889.5,1400.7
0,0,0,94522000,114.180291679,22.305676745,17230.8,18843.2,882.5,1391.7
0,0,0,94523000,114.180287537,22.305675357,17296.3,18908.7,875.2,1379.3
0,0,0,94524000,114.180283704,22.305674835,17282.0,18894.4,870.5,1373.1
0,0,0,94525000,114.18027898,22.305672345,17436.1,19048.5,861.2,1360.7
0,0,0,94526000,114.180273785,22.305669524,17456.2,19068.7,860.6,1365.8
0,0,0,94527000,114.18026769,22.305667129,17563.4,19175.9,854.8,1357.0
0,0,0,94528000,114.180260902,22.305665249,17606.5,19219.0,848.0,1345.6
0,0,0,94529000,114.180252991,22.305662303,17734.3,19346.8,836.4,1326.6
0,0,0,94530000,114.18024538,22.305658916,17758.4,19370.9,828.0,1313.6
0,0,0,94531000,114.18023753,22.305656525,17842.9,19455.4,813.8,1291.7
0,0,0,94532000,114.180230008,22.305653351,17905.2,19517.8,801.0,1272.9
0,0,0,94533000,114.180222488,22.305649146,17890.4,19503.0,800.9,1272.7
0,0,0,94534000,114.180215204,22.305644315,17831.7,19444.3,792.5,1249.8
0,0,0,94535000,114.180206795,22.305640053,17842.3,19455.0,776.0,1227.9
0,0,0,94536000,114.180198667,22.305636039,17951.2,19563.8,758.3,1201.0
0,0,0,94537000,114.180190213,22.305632156,18094.1,19706.8,744.9,1183.5
0,0,0,94538000,114.180182353,22.305627633,18201.3,19814.0,737.2,1172.0
0,0,0,94539000,114.180173334,22.305622465,18302.2,19915.0,727.5,1156.9
0,0,0,94540000,114.180164131,22.305617909,18213.3,19826.1,719.8,1147.3
0,0,0,94541000,114.180154927,22.305613733,18277.6,19890.4,715.4,1140.8
0,0,0,94542000,114.180146861,22.305610876,18317.3,19930.1,709.6,1131.3
0,0,0,94543000,114.180139373,22.305608026,18277.8,19890.6,705.0,1126.3
0,0,0,94544000,114.18013093,22.305604937,18302.1,19914.9,699.4,1117.1
0,0,0,94545000,114.180121364,22.305602209,18233.8,19846.6,696.2,1111.5
0,0,0,94546000,114.180113027,22.305600196,18218.7,19831.6,691.8,1102.8
