iTOW,ecefX,ecefY,ecefZ,pAcc
94417000,-241820647,538576000,240577298,143
94418000,-241820645,538575997,240577298,143
94419000,-241820646,538575991,240577305,142
94420000,-241820644,538575987,240577307,141
94421000,-241820642,538575986,240577305,141
94422000,-241820637,538575987,240577306,140
94423000,-241820634,538575991,240577307,140
94424000,-241820636,538575993,240577309,140
94425000,-241820635,538575995,240577308,140
94426000,-241820642,538575995,240577298,141
94427000,-241820649,538576001,240577287,142
94428000,-241820649,538576009,240577286,142
94429000,-241820649,538576015,240577288,143
94430000,-241820652,538576021,240577288,144
94431000,-241820652,538576028,240577287,145
94432000,-241820648,538576029,240577296,145
94433000,-241820649,538576038,240577301,146
94434000,-241820644,538576047,240577310,148
94435000,-241820645,538576049,240577329,149
94436000,-241820645,538576045,240577355,151
94437000,-241820650,538576037,240577383,154
94438000,-241820656,538576018,240577405,157
94439000,-241820670,538576003,240577435,157
94440000,-241820698,538575993,240577461,157
94441000,-241820723,538575972,240577493,157
94442000,-241820749,538575943,240577522,157
94443000,-241820781,538575905,240577554,157
94444000,-241820813,538575868,240577588,157
94445000,-241820845,538575817,240577625,156
94446000,-241820880,538575770,240577657,156
94447000,-241820924,538575722,240577695,155
94448000,-241820961,538575674,240577731,155
94449000,-241821010,538575628,240577769,155
94450000,-241821053,538575580,240577808,155
94451000,-241821100,538575536,240577848,154
94452000,-241821152,538575482,240577890,152
94453000,-241821202,538575423,240577940,149
94454000,-241821248,538575363,240577981,146
94455000,-241821290,538575316,240578017,143
94456000,-241821341,538575265,240578057,140
94457000,-241821392,538575211,240578098,137
94458000,-241821436,538575154,240578139,135
94459000,-241821481,538575106,240578174,134
94460000,-241821527,538575060,240578207,132
94461000,-241821576,538575007,240578245,131
94462000,-241821619,538574961,240578286,129
94463000,-241821667,538574901,240578330,129
94464000,-241821720,538574848,240578374,128
94465000,-241821781,538574799,240578409,129
94466000,-241821842,538574754,240578439,128
94467000,-241821906,538574713,240578470,128
94468000,-241821979,538574658,240578499,128
94469000,-241822048,538574609,240578513,128
94470000,-241822115,538574567,240578509,130
94471000,-241822187,538574527,240578495,131
94472000,-241822271,538574486,240578479,133
94473000,-241822353,538574437,240578446,135
94474000,-241822437,538574407,240578407,137
94475000,-241822517,538574393,240578361,139
94476000,-241822588,538574372,240578315,140
94477000,-241822657,538574341,240578268,142
