iTOW,lon,lat,height,hMSL,hAcc,vAcc
94417000,114.1800823,22.3057058,19738,21351,781,1200
94418000,114.1800822,22.3057059,19702,21315,778,1194
94419000,114.1800825,22.3057066,19680,21293,775,1187
94420000,114.1800826,22.3057069,19641,21254,771,1180
94421000,114.1800824,22.3057068,19624,21237,771,1178
94422000,114.1800819,22.305707,19618,21231,770,1175
94423000,114.1800816,22.3057069,19637,21250,768,1172
94424000,114.1800816,22.305707,19669,21283,768,1175
94425000,114.1800814,22.3057069,19679,21292,768,1176
94426000,114.1800821,22.305706,19675,21288,769,1183
94427000,114.1800825,22.3057048,19708,21321,771,1192
94428000,114.1800821,22.3057044,19775,21388,771,1197
94429000,114.1800819,22.3057044,19829,21442,773,1206
94430000,114.1800819,22.3057042,19891,21504,776,1214
94431000,114.1800816,22.3057039,19945,21558,780,1220
94432000,114.1800813,22.3057046,19969,21582,783,1225
94433000,114.1800809,22.3057047,20072,21685,787,1231
94434000,114.1800802,22.3057053,20164,21777,796,1243
94435000,114.1800802,22.3057068,20257,21870,806,1248
94436000,114.1800803,22.3057091,20324,21937,825,1271
94437000,114.1800811,22.3057116,20382,21995,844,1293
94438000,114.1800824,22.3057139,20323,21936,859,1310
94439000,114.1800842,22.3057168,20361,21974,864,1308
94440000,114.1800871,22.3057189,20484,22097,872,1310
94441000,114.1800902,22.3057218,20522,22135,873,1302
94442000,114.1800936,22.3057248,20490,22103,876,1299
94443000,114.180098,22.3057282,20409,22022,878,1297
94444000,114.1801023,22.3057318,20346,21959,878,1296
94445000,114.1801071,22.305736,20181,21794,877,1294
94446000,114.1801121,22.3057397,20031,21644,872,1291
94447000,114.1801179,22.3057437,19940,21553,869,1290
94448000,114.1801231,22.3057477,19815,21428,864,1290
94449000,114.1801292,22.3057516,19753,21366,860,1289
94450000,114.1801349,22.3057558,19663,21276,856,1291
94451000,114.1801409,22.3057598,19618,21231,846,1282
94452000,114.1801476,22.3057643,19522,21135,831,1269
94453000,114.1801544,22.3057696,19405,21018,812,1248
94454000,114.1801608,22.3057743,19229,20842,792,1228
94455000,114.1801665,22.3057781,19122,20735,768,1202
94456000,114.1801729,22.3057824,19040,20653,748,1181
94457000,114.1801796,22.3057868,18931,20544,731,1161
94458000,114.1801858,22.3057914,18778,20391,716,1145
94459000,114.1801917,22.3057952,18672,20285,706,1134
94460000,114.1801976,22.3057987,18583,20196,697,1124
94461000,114.180204,22.3058029,18469,20082,687,1114
94462000,114.1802097,22.3058072,18395,20008,677,1103
94463000,114.1802163,22.305812,18237,19849,670,1098
94464000,114.1802231,22.3058166,18163,19776,666,1098
94465000,114.1802305,22.3058202,18109,19722,664,1101
94466000,114.1802377,22.3058232,18075,19688,660,1100
94467000,114.1802449,22.3058262,18090,19702,657,1100
94468000,114.1802536,22.3058293,18009,19622,655,1101
94469000,114.1802617,22.3058311,17917,19530,655,1105
94470000,114.1802693,22.3058311,17799,19412,661,1117
94471000,114.1802772,22.3058302,17681,19293,672,1130
94472000,114.1802863,22.305829,17592,19204,680,1144
94473000,114.1802955,22.3058266,17360,18973,692,1164
94474000,114.1803041,22.3058231,17277,18890,704,1178
94475000,114.1803118,22.3058185,17290,18903,714,1189
94476000,114.1803189,22.3058144,17202,18815,724,1201
94477000,114.1803262,22.3058105,17026,18638,738,1218
94478000,114.1803332,22.3058052,16995,18607,753,1234
94479000,114.1803393,22.3057991,16978,18590,767,1248
94480000,114.1803443,22.305793,16921,18533,781,1264
94481000,114.1803495,22.3057868,16820,18432,792,1274
94482000,114.1803545,22.3057806,16773,18386,799,1280
94483000,114.1803602,22.3057738,16716,18328,807,1285
94484000,114.1803661,22.3057669,16508,18120,818,1299
94485000,114.1803708,22.3057601,16528,18140,829,1314
94486000,114.1803738,22.3057529,16553,18165,839,1329
94487000,114.1803763,22.3057458,16481,18093,841,1330
94488000,114.1803792,22.305739,16352,17965,841,1331
94489000,114.1803812,22.3057314,16233,17845,843,1332
94490000,114.1803825,22.3057231,16226,17838,846,1334
94491000,114.1803831,22.3057154,16200,17812,846,1331
94492000,114.1803826,22.305709,16069,17681,846,1333
94493000,114.1803828,22.3057033,15895,17507,850,1344
94494000,114.1803836,22.3056973,15716,17328,853,1345
94495000,114.1803835,22.3056922,15445,17057,857,1351
94496000,114.1803828,22.3056891,15287,16899,866,1372
94497000,114.180382,22.3056875,15234,16846,877,1389
94498000,114.1803809,22.3056875,15083,16695,886,1401
94499000,114.1803797,22.3056883,15119,16731,886,1394
94500000,114.180378,22.3056899,15344,16956,879,1381
94501000,114.180379,22.305693,15003,16615,873,1372
94502000,114.1803752,22.305696,14933,16546,865,1358
94503000,114.1803695,22.3056993,14904,16517,872,1363
94504000,114.1803629,22.3057013,14936,16548,916,1410
94505000,114.1803557,22.3057026,14797,16409,934,1396
94506000,114.1803479,22.3057022,14792,16404,928,1394
94507000,114.1803431,22.3057015,14994,16606,925,1395
94508000,114.18034,22.305701,15267,16879,928,1406
94509000,114.1803366,22.3056998,15584,17196,932,1416
94510000,114.1803344,22.3056989,15736,17348,936,1426
94511000,114.1803327,22.3056984,15802,17414,939,1437
94512000,114.1803305,22.3056965,15832,17444,945,1453
94513000,114.1803265,22.3056947,16063,17676,949,1463
94514000,114.1803225,22.3056932,16347,17959,946,1461
94515000,114.1803199,22.3056913,16473,18085,940,1458
94516000,114.1803167,22.3056894,16661,18273,935,1454
94517000,114.1803129,22.3056873,16877,18489,925,1443
94518000,114.1803086,22.3056862,16968,18580,921,1441
94519000,114.1803042,22.305684,17025,18638,912,1433
94520000,114.1803003,22.3056809,17003,18616,900,1417
94521000,114.180296,22.3056784,17095,18707,889,1401
94522000,114.1802917,22.3056767,17231,18843,882,1392
94523000,114.1802875,22.3056754,17296,18909,875,1379
94524000,114.1802837,22.3056748,17282,18894,870,1373
94525000,114.180279,22.3056723,17436,19049,861,1361
94526000,114.1802738,22.3056695,17456,19069,861,1366
94527000,114.1802677,22.3056671,17563,19176,855,1357
94528000,114.1802609,22.3056652,17606,19219,848,1346
94529000,114.180253,22.3056623,17734,19347,836,1327
94530000,114.1802454,22.3056589,17758,19371,828,1314
94531000,114.1802375,22.3056565,17843,19455,814,1292
94532000,114.18023,22.3056534,17905,19518,801,1273
94533000,114.1802225,22.3056491,17890,19503,801,1273
94534000,114.1802152,22.3056443,17832,19444,792,1250
94535000,114.1802068,22.3056401,17842,19455,776,1228
94536000,114.1801987,22.305636,17951,19564,758,1201
94537000,114.1801902,22.3056322,18094,19707,745,1183
94538000,114.1801824,22.3056276,18201,19814,737,1172
94539000,114.1801733,22.3056225,18302,19915,727,1157
94540000,114.1801641,22.3056179,18213,19826,720,1147
94541000,114.1801549,22.3056137,18278,19890,715,1141
94542000,114.1801469,22.3056109,18317,19930,710,1131
94543000,114.1801394,22.305608,18278,19891,705,1126
94544000,114.1801309,22.3056049,18302,19915,699,1117
94545000,114.1801214,22.3056022,18234,19847,696,1112
94546000,114.180113,22.3056002,18219,19832,692,1103
94547000,114.180104,22.3055993,18250,19863,691,1100
94548000,114.1800953,22.3055984,18229,19842,688,1094
94549000,114.1800873,22.3055977,18298,19911,682,1085
94550000,114.1800794,22.3055983,18283,19896,677,1077
94551000,114.1800726,22.3055994,18366,19979,673,1071
94552000,114.1800649,22.3056015,18437,20050,670,1068
94553000,114.1800563,22.3056041,18423,20036,665,1063
94554000,114.1800478,22.3056068,18424,20037,664,1064
94555000,114.1800393,22.3056093,18381,19994,664,1067
94556000,114.1800315,22.3056119,18408,20021,669,1076
94557000,114.1800244,22.3056156,18464,20078,677,1087
94558000,114.1800176,22.3056204,18519,20132,681,1093
94559000,114.1800118,22.3056262,18531,20144,690,1102
94560000,114.1800072,22.3056323,18559,20173,701,1114
94561000,114.1800049,22.3056385,18709,20323,720,1133
94562000,114.1800053,22.305645,18753,20366,752,1171
94563000,114.1800067,22.3056532,18817,20430,777,1202
94564000,114.1800093,22.3056603,18432,20045,790,1213
94565000,114.1800157,22.3056639,18532,20146,797,1224
94566000,114.180022,22.3056683,18591,20204,810,1237
94567000,114.1800287,22.305673,18690,20303,827,1257
94568000,114.1800353,22.3056786,18703,20317,845,1278
94569000,114.1800425,22.3056842,18682,20295,858,1292
94570000,114.18005,22.30569,18649,20262,866,1298
94571000,114.1800578,22.3056944,18627,20240,873,1303
94572000,114.180065,22.3056987,18551,20164,874,1298
94573000,114.1800725,22.3057033,18401,20014,876,1296
94574000,114.1800803,22.3057087,18329,19942,874,1286
94575000,114.1800882,22.3057148,18411,20024,870,1275
94576000,114.1800954,22.3057213,18237,19850,869,1269
94577000,114.1801023,22.3057272,18147,19760,867,1265
94578000,114.1801091,22.3057323,18088,19701,865,1260
94579000,114.1801153,22.305738,17853,19466,863,1260
94580000,114.1801226,22.3057445,17773,19386,863,1260
94581000,114.1801298,22.3057519,17727,19340,864,1259
94582000,114.1801357,22.3057593,17639,19252,863,1259
94583000,114.1801413,22.3057654,17506,19119,857,1257
94584000,114.180149,22.3057697,17599,19212,853,1257
94585000,114.1801568,22.3057731,17560,19173,835,1241
94586000,114.1801644,22.3057775,17590,19203,811,1218
94587000,114.1801726,22.3057826,17718,19331,787,1193
94588000,114.1801813,22.3057875,17587,19200,766,1172
94589000,114.1801901,22.3057927,17453,19066,750,1155
94590000,114.1801987,22.3057985,17452,19065,735,1142
94591000,114.1802069,22.3058036,17464,19077,722,1130
94592000,114.1802159,22.3058079,17467,19080,715,1128
94593000,114.180225,22.3058119,17389,19002,705,1122
94594000,114.1802339,22.3058159,17294,18907,698,1120
94595000,114.1802434,22.30582,17331,18944,692,1118
94596000,114.1802527,22.3058241,17368,18980,689,1118
94597000,114.1802626,22.3058268,17225,18838,688,1121
94598000,114.1802736,22.3058273,17039,18652,690,1127
94599000,114.1802844,22.3058255,16858,18470,694,1133
94600000,114.1802942,22.3058214,16780,18393,702,1146
94601000,114.1803034,22.3058164,16602,18215,713,1159
94602000,114.1803111,22.305811,16449,18061,723,1172
94603000,114.1803187,22.3058062,16517,18130,733,1185
94604000,114.1803256,22.3058005,16558,18170,746,1202
94605000,114.1803324,22.3057939,16407,18019,756,1212
94606000,114.1803383,22.305787,16255,17868,768,1226
94607000,114.1803431,22.3057802,16176,17788,778,1239
94608000,114.1803468,22.305773,16224,17836,788,1252
94609000,114.1803506,22.3057654,16089,17702,795,1260
94610000,114.1803539,22.3057566,16019,17631,797,1260
94611000,114.1803551,22.305747,16180,17792,798,1259
94612000,114.1803566,22.305738,16138,17751,799,1257
94613000,114.1803576,22.3057286,16063,17675,801,1259
94614000,114.1803568,22.3057186,15899,17512,806,1267
94615000,114.1803541,22.3057094,15808,17420,812,1279
94616000,114.1803492,22.3057025,15749,17361,818,1289
94617000,114.1803428,22.3057001,15687,17300,824,1296
94618000,114.1803386,22.3056992,15754,17366,831,1311
94619000,114.1803355,22.3056993,16093,17705,837,1321
94620000,114.1803328,22.3056986,16249,17861,845,1334
94621000,114.1803306,22.3056968,16268,17881,857,1354
94622000,114.1803274,22.305695,16495,18107,871,1380
94623000,114.1803249,22.305694,16615,18227,880,1394
94624000,114.1803227,22.3056926,16826,18438,892,1412
94625000,114.1803207,22.3056913,16957,18569,902,1430
94626000,114.1803184,22.3056899,16953,18566,911,1449
94627000,114.1803148,22.3056877,17230,18842,922,1466
94628000,114.1803103,22.3056865,17487,19099,929,1481
94629000,114.1803066,22.305685,17512,19124,942,1502
94630000,114.1803019,22.3056833,17507,19120,951,1519
94631000,114.1802972,22.3056804,17604,19216,945,1512
94632000,114.1802919,22.3056776,17632,19245,945,1512
94633000,114.1802867,22.3056757,17867,19479,941,1506
94634000,114.1802824,22.3056744,18036,19649,926,1476
94635000,114.1802783,22.3056731,18134,19747,916,1461
94636000,114.1802727,22.3056701,18277,19890,898,1427
94637000,114.1802659,22.3056675,18398,20011,877,1391
94638000,114.1802592,22.3056645,18447,20060,868,1375
94639000,114.1802527,22.3056608,18537,20149,861,1364
94640000,114.180246,22.3056568,18596,20209,852,1350
94641000,114.1802385,22.3056539,18810,20423,841,1332
94642000,114.1802309,22.3056511,18847,20459,835,1322
94643000,114.1802231,22.3056475,18912,20524,832,1312
94644000,114.1802154,22.3056438,18913,20526,820,1292
94645000,114.1802083,22.3056409,18902,20514,804,1267
94646000,114.1802,22.3056382,19066,20679,796,1251
94647000,114.1801916,22.305635,19092,20705,793,1243
94648000,114.1801837,22.3056314,19093,20705,787,1235
94649000,114.1801765,22.3056275,18985,20598,781,1224
94650000,114.1801691,22.3056242,18922,20535,780,1221
94651000,114.1801613,22.3056208,18960,20573,779,1218
94652000,114.180154,22.3056181,19003,20616,782,1221
94653000,114.1801458,22.3056156,19026,20639,786,1223
94654000,114.1801363,22.3056129,19020,20633,770,1201
94655000,114.180128,22.3056104,18935,20548,767,1199
94656000,114.1801195,22.3056081,18845,20458,765,1194
94657000,114.180111,22.3056056,18937,20550,759,1185
94658000,114.1801029,22.305605,18907,20520,750,1171
94659000,114.1800948,22.3056061,18988,20601,733,1145
94660000,114.1800877,22.3056095,18965,20578,722,1130
94661000,114.1800833,22.3056138,18932,20545,712,1116
