iTOW,year,month,day,hour,min,second,validDate,validTime,fullyResolved,validMag,tAcc,nano,fixType,gnssFixOk,diffSoln,psmState,headVehValid,carrSoln,confirmedAvai,confirmedDate,confirmedTime,numSV,lon,lat,height,hMSL,hAcc,vAcc,velN,velE,velD,gSpeed,headMot,sAcc,headAcc,pDOP,invalidLlh,lastCorrectionAge,reserved0,headVeh,magDec,magAcc
94417000,2025,10,27,2,13,19,1,1,1,0,23,-452434,3,1,1,0,0,0,1,1,1,31,114.1800823,22.3057058,19738,21351,781,1200,-27,-5,7,28,207.31728,67,180.0,1.08,0,0,558842204,0.0,0.0,0.0
94418000,2025,10,27,2,13,20,1,1,1,0,23,-452502,3,1,1,0,0,0,1,1,1,31,114.1800822,22.3057059,19702,21315,778,1194,21,0,74,21,207.31728,163,180.0,1.08,0,0,558842204,0.0,0.0,0.0
94419000,2025,10,27,2,13,21,1,1,1,0,23,-452571,3,1,1,0,0,0,1,1,1,31,114.1800825,22.3057066,19680,21293,775,1187,90,47,24,102,207.31728,87,55.17269,1.08,0,0,558842204,0.0,0.0,0.0
94420000,2025,10,27,2,13,22,1,1,1,0,23,-452640,3,1,1,0,0,0,1,1,1,31,114.1800826,22.3057069,19641,21254,771,1180,-7,2,15,7,207.31728,116,180.0,1.08,0,0,558842204,0.0,0.0,0.0
94421000,2025,10,27,2,13,23,1,1,1,0,23,-452709,3,1,1,0,0,0,1,1,1,31,114.1800824,22.3057068,19624,21237,771,1178,-10,-7,24,12,207.31728,136,180.0,1.08,0,0,558842204,0.0,0.0,0.0
94422000,2025,10,27,2,13,24,1,1,1,0,23,-452778,3,1,1,0,0,0,1,1,1,31,114.1800819,22.305707,19618,21231,770,1175,6,-32,-29,32,207.31728,118,136.15924,1.08,0,0,558842204,0.0,0.0,0.0
94423000,2025,10,27,2,13,25,1,1,1,0,23,-452846,3,1,1,0,0,0,1,1,1,31,114.1800816,22.3057069,19637,21250,768,1172,9,-31,49,33,207.31728,144,127.92428,1.08,0,0,558842204,0.0,0.0,0.0
94424000,2025,10,27,2,13,26,1,1,1,0,23,-452916,3,1,1,0,0,0,1,1,1,31,114.1800816,22.305707,19669,21283,768,1175,33,24,39,41,207.31728,135,130.76442,1.08,0,0,558842204,0.0,0.0,0.0
94425000,2025,10,27,2,13,27,1,1,1,0,23,-452986,3,1,1,0,0,0,1,1,1,31,114.1800814,22.3057069,19679,21292,768,1176,-16,-22,22,27,207.31728,106,180.0,1.08,0,0,558842204,0.0,0.0,0.0
94426000,2025,10,27,2,13,28,1,1,1,0,23,-453056,3,1,1,0,0,0,1,1,1,31,114.1800821,22.305706,19675,21288,769,1183,-106,123,92,162,130.69702,105,29.90318,1.08,0,0,558842204,0.0,0.0,0.0
94427000,2025,10,27,2,13,29,1,1,1,0,23,-453127,3,1,1,0,0,0,1,1,1,31,114.1800825,22.3057048,19708,21321,771,1192,-128,24,-23,131,169.45944,108,42.03923,1.08,0,0,558842204,0.0,0.0,0.0
94428000,2025,10,27,2,13,30,1,1,1,0,23,-453197,3,1,1,0,0,0,1,1,1,31,114.1800821,22.3057044,19775,21388,771,1197,25,-43,13,50,181.75346,113,87.3689,1.08,0,0,558842204,0.0,0.0,0.0
94429000,2025,10,27,2,13,31,1,1,1,0,23,-453267,3,1,1,0,0,0,1,1,1,31,114.1800819,22.3057044,19829,21442,773,1206,-3,-2,-41,4,181.75346,186,180.0,1.08,0,0,558842204,0.0,0.0,0.0
94430000,2025,10,27,2,13,32,1,1,1,0,23,-453336,3,1,1,0,0,0,1,1,1,31,114.1800819,22.3057042,19891,21504,776,1214,-10,-2,12,10,181.75346,130,180.0,1.08,0,0,558842204,0.0,0.0,0.0
94431000,2025,10,27,2,13,33,1,1,1,0,23,-453406,3,1,1,0,0,0,1,1,1,31,114.1800816,22.3057039,19945,21558,780,1220,-22,-50,7,55,181.75346,99,96.44884,1.08,0,0,558842204,0.0,0.0,0.0
94432000,2025,10,27,2,13,34,1,1,1,0,23,-453475,3,1,1,0,0,0,1,1,1,31,114.1800813,22.3057046,19969,21582,783,1225,135,-26,3,137,349.20476,97,39.93138,1.08,0,0,558842204,0.0,0.0,0.0
94433000,2025,10,27,2,13,35,1,1,1,0,23,-453545,3,1,1,0,0,0,1,1,1,31,114.1800809,22.3057047,20072,21685,787,1231,-17,-45,-61,48,269.92336,160,116.0109,1.08,0,0,558842204,0.0,0.0,0.0
94434000,2025,10,27,2,13,36,1,1,1,0,23,-453614,3,1,1,0,0,0,1,1,1,31,114.1800802,22.3057053,20164,21777,796,1243,121,-65,-11,137,331.89322,114,43.60799,1.08,0,0,558842204,0.0,0.0,0.0
94435000,2025,10,27,2,13,37,1,1,1,0,23,-453684,3,1,1,0,0,0,1,1,1,31,114.1800802,22.3057068,20257,21870,806,1248,217,-10,-30,218,357.28424,95,32.07686,1.08,0,0,558842204,0.0,0.0,0.0
94436000,2025,10,27,2,13,38,1,1,1,0,23,-453755,3,1,1,0,0,0,1,1,1,31,114.1800803,22.3057091,20324,21937,825,1271,289,24,56,290,4.70166,142,27.67239,1.08,0,0,558842204,0.0,0.0,0.0
94437000,2025,10,27,2,13,39,1,1,1,0,23,-453826,3,1,1,0,0,0,1,1,1,31,114.1800811,22.3057116,20382,21995,844,1293,285,114,-20,307,21.7268,113,25.3672,1.08,0,0,558842204,0.0,0.0,0.0
94438000,2025,10,27,2,13,40,1,1,1,0,23,-453896,3,1,1,0,0,0,1,1,1,31,114.1800824,22.3057139,20323,21936,859,1310,212,148,48,259,34.93826,120,27.85166,1.06,0,0,558842204,0.0,0.0,0.0
94439000,2025,10,27,2,13,41,1,1,1,0,23,-453966,3,1,1,0,0,0,1,1,1,31,114.1800842,22.3057168,20361,21974,864,1308,318,148,-8,350,24.92307,79,20.23912,1.06,0,0,558842204,0.0,0.0,0.0
94440000,2025,10,27,2,13,42,1,1,1,0,23,-454036,3,1,1,0,0,0,1,1,1,31,114.1800871,22.3057189,20484,22097,872,1310,260,336,2,425,52.26911,116,15.96157,1.06,0,0,558842204,0.0,0.0,0.0
94441000,2025,10,27,2,13,43,1,1,1,0,23,-454105,3,1,1,0,0,0,1,1,1,31,114.1800902,22.3057218,20522,22135,873,1302,343,339,-60,482,44.64657,96,13.75492,1.06,0,0,558842204,0.0,0.0,0.0
94442000,2025,10,27,2,13,44,1,1,1,0,23,-454174,3,1,1,0,0,0,1,1,1,31,114.1800936,22.3057248,20490,22103,876,1299,288,403,-46,496,54.48953,107,14.49083,1.08,0,0,558842204,0.0,0.0,0.0
94443000,2025,10,27,2,13,45,1,1,1,0,23,-454242,3,1,1,0,0,0,1,1,1,32,114.180098,22.3057282,20409,22022,878,1297,378,519,28,642,53.91214,99,10.26783,1.04,0,0,558842204,0.0,0.0,0.0
94444000,2025,10,27,2,13,46,1,1,1,0,23,-454312,3,1,1,0,0,0,1,1,1,31,114.1801023,22.3057318,20346,21959,878,1296,384,393,109,550,45.70153,92,13.07881,1.08,0,0,558842204,0.0,0.0,0.0
94445000,2025,10,27,2,13,47,1,1,1,0,23,-454381,3,1,1,0,0,0,1,1,1,31,114.1801071,22.305736,20181,21794,877,1294,450,628,144,773,54.39986,95,8.18004,1.08,0,0,558842204,0.0,0.0,0.0
94446000,2025,10,27,2,13,48,1,1,1,0,23,-454451,3,1,1,0,0,0,1,1,1,32,114.1801121,22.3057397,20031,21644,872,1291,374,520,15,641,54.26955,95,10.23325,1.06,0,0,558842204,0.0,0.0,0.0
94447000,2025,10,27,2,13,49,1,1,1,0,23,-454520,3,1,1,0,0,0,1,1,1,32,114.1801179,22.3057437,19940,21553,869,1290,450,644,75,786,55.04978,92,8.08516,1.04,0,0,558842204,0.0,0.0,0.0
94448000,2025,10,27,2,13,50,1,1,1,0,23,-454590,3,1,1,0,0,0,1,1,1,31,114.1801231,22.3057477,19815,21428,864,1290,401,530,49,664,52.88177,101,9.27004,1.08,0,0,558842204,0.0,0.0,0.0
