iTOW,gpsFix,gpsFixOk,diffSoln,wknSet,towSet,diffCorr,carrSolnValid,mapMatching,psmState,spoofDetState,carrSoln,ttff,msss
94417000,3,1,1,1,1,0,1,0,0,1,0,33680,322668
94418000,3,1,1,1,1,0,1,0,0,1,0,33680,323668
94419000,3,1,1,1,1,0,1,0,0,1,0,33680,324668
94420000,3,1,1,1,1,0,1,0,0,1,0,33680,325668
94421000,3,1,1,1,1,0,1,0,0,1,0,33680,326668
94422000,3,1,1,1,1,0,1,0,0,1,0,33680,327668
94423000,3,1,1,1,1,0,1,0,0,1,0,33680,328668
94424000,3,1,1,1,1,0,1,0,0,1,0,33680,329668
94425000,3,1,1,1,1,0,1,0,0,1,0,33680,330668
94426000,3,1,1,1,1,0,1,0,0,1,0,33680,331668
94427000,3,1,1,1,1,0,1,0,0,1,0,33680,332668
94428000,3,1,1,1,1,0,1,0,0,1,0,33680,333668
94429000,3,1,1,1,1,0,1,0,0,1,0,33680,334668
94430000,3,1,1,1,1,0,1,0,0,1,0,33680,335668
94431000,3,1,1,1,1,0,1,0,0,1,0,33680,336668
94432000,3,1,1,1,1,0,1,0,0,1,0,33680,337668
94433000,3,1,1,1,1,0,1,0,0,1,0,33680,338668
94434000,3,1,1,1,1,0,1,0,0,1,0,33680,339668
94435000,3,1,1,1,1,0,1,0,0,1,0,33680,340668
94436000,3,1,1,1,1,0,1,0,0,1,0,33680,341668
94437000,3,1,1,1,1,0,1,0,0,1,0,33680,342668
94438000,3,1,1,1,1,0,1,0,0,1,0,33680,343668
94439000,3,1,1,1,1,0,1,0,0,1,0,33680,344668
94440000,3,1,1,1,1,0,1,0,0,1,0,33680,345668
94441000,3,1,1,1,1,0,1,0,0,1,0,33680,346668
94442000,3,1,1,1,1,0,1,0,0,1,0,33680,347668
94443000,3,1,1,1,1,0,1,0,0,1,0,33680,348668
94444000,3,1,1,1,1,0,1,0,0,1,0,33680,349668
94445000,3,1,1,1,1,0,1,0,0,1,0,33680,350668
94446000,3,1,1,1,1,0,1,0,0,1,0,33680,351668
