iTOW,SOW,fSOW,week,leapS,sowValid,weekValid,leapSValid,tAcc
94417000,94403,-452455,1034,4,1,1,1,4
94418000,94404,-452523,1034,4,1,1,1,4
94419000,94405,-452592,1034,4,1,1,1,4
94420000,94406,-452661,1034,4,1,1,1,4
94421000,94407,-452730,1034,4,1,1,1,4
94422000,94408,-452799,1034,4,1,1,1,4
94423000,94409,-452867,1034,4,1,1,1,4
94424000,94410,-452937,1034,4,1,1,1,4
94425000,94411,-453007,1034,4,1,1,1,4
94426000,94412,-453077,1034,4,1,1,1,4
94427000,94413,-453148,1034,4,1,1,1,4
94428000,94414,-453218,1034,4,1,1,1,4
94429000,94415,-453288,1034,4,1,1,1,4
94430000,94416,-453357,1034,4,1,1,1,4
94431000,94417,-453427,1034,4,1,1,1,4
94432000,94418,-453496,1034,4,1,1,1,4
94433000,94419,-453566,1034,4,1,1,1,4
94434000,94420,-453635,1034,4,1,1,1,4
94435000,94421,-453705,1034,4,1,1,1,4
94436000,94422,-453776,1034,4,1,1,1,4
94437000,94423,-453847,1034,4,1,1,1,4
94438000,94424,-453917,1034,4,1,1,1,4
94439000,94425,-453987,1034,4,1,1,1,4
94440000,94426,-454057,1034,4,1,1,1,4
94441000,94427,-454126,1034,4,1,1,1,4
94442000,94428,-454195,1034,4,1,1,1,4
94443000,94429,-454263,1034,4,1,1,1,4
94444000,94430,-454333,1034,4,1,1,1,4
94445000,94431,-454402,1034,4,1,1,1,4
94446000,94432,-454472,1034,4,1,1,1,4
94447000,94433,-454541,1034,4,1,1,1,4
94448000,94434,-454611,1034,4,1,1,1,4
94449000,94435,-454680,1034,4,1,1,1,4
94450000,94436,-454748,1034,4,1,1,1,4
94451000,94437,-454817,1034,4,1,1,1,4
94452000,94438,-454886,1034,4,1,1,1,4
94453000,94439,-454955,1034,4,1,1,1,4
94454000,94440,-455025,1034,4,1,1,1,4
94455000,94441,-455094,1034,4,1,1,1,4
94456000,94442,-455163,1034,4,1,1,1,4
94457000,94443,-455233,1034,4,1,1,1,4
94458000,94444,-455303,1034,4,1,1,1,4
94459000,94445,-455374,1034,4,1,1,1,4
94460000,94446,-455444,1034,4,1,1,1,4
94461000,94447,-455514,1034,4,1,1,1,4
94462000,94448,-455584,1034,4,1,1,1,4
94463000,94449,-455654,1034,4,1,1,1,4
94464000,94450,-455724,1034,4,1,1,1,4
94465000,94451,-455795,1034,4,1,1,1,4
94466000,94452,-455865,1034,4,1,1,1,4
94467000,94453,-455935,1034,4,1,1,1,4
94468000,94454,-456006,1034,4,1,1,1,4
94469000,94455,-456077,1034,4,1,1,1,4
94470000,94456,-456147,1034,4,1,1,1,4
94471000,94457,-456219,1034,4,1,1,1,4
94472000,94458,-456291,1034,4,1,1,1,4
94473000,94459,-456363,1034,4,1,1,1,4
94474000,94460,-456433,1034,4,1,1,1,4
94475000,94461,-456504,1034,4,1,1,1,4
94476000,94462,-456575,1034,4,1,1,1,4
94477000,94463,-456645,1034,4,1,1,1,4
94478000,94464,-456716,1034,4,1,1,1,4
94479000,94465,-456787,1034,4,1,1,1,4
94480000,94466,-456858,1034,4,1,1,1,4
94481000,94467,-456929,1034,4,1,1,1,4
94482000,94468,-457000,1034,4,1,1,1,4
94483000,94469,-457072,1034,4,1,1,1,4
94484000,94470,-457143,1034,4,1,1,1,4
94485000,94471,-457214,1034,4,1,1,1,4
94486000,94472,-457286,1034,4,1,1,1,4
94487000,94473,-457357,1034,4,1,1,1,4
94488000,94474,-457429,1034,4,1,1,1,4
94489000,94475,-457501,1034,4,1,1,1,4
94490000,94476,-457574,1034,4,1,1,1,4
94491000,94477,-457646,1034,4,1,1,1,4
94492000,94478,-457719,1034,4,1,1,1,4
94493000,94479,-457791,1034,4,1,1,1,4
94494000,94480,-457864,1034,4,1,1,1,4
94495000,94481,-457936,1034,4,1,1,1,4
94496000,94482,-458009,1034,4,1,1,1,4
94497000,94483,-458082,1034,4,1,1,1,5
94498000,94484,-458155,1034,4,1,1,1,5
94499000,94485,-458229,1034,4,1,1,1,5
94500000,94486,-458304,1034,4,1,1,1,4
94501000,94487,-458378,1034,4,1,1,1,4
94502000,94488,-458453,1034,4,1,1,1,4
94503000,94489,-458528,1034,4,1,1,1,4
94504000,94490,-458603,1034,4,1,1,1,5
94505000,94491,-458674,1034,4,1,1,1,4
94506000,94492,-458743,1034,4,1,1,1,4
94507000,94493,-458812,1034,4,1,1,1,4
94508000,94494,-458881,1034,4,1,1,1,5
94509000,94495,-458951,1034,4,1,1,1,5
94510000,94496,-459021,1034,4,1,1,1,5
94511000,94497,-459092,1034,4,1,1,1,5
94512000,94498,-459163,1034,4,1,1,1,5
94513000,94499,-459235,1034,4,1,1,1,5
94514000,94500,-459306,1034,4,1,1,1,5
94515000,94501,-459377,1034,4,1,1,1,5
94516000,94502,-459447,1034,4,1,1,1,5
94517000,94503,-459517,1034,4,1,1,1,5
94518000,94504,-459587,1034,4,1,1,1,5
94519000,94505,-459655,1034,4,1,1,1,5
94520000,94506,-459721,1034,4,1,1,1,5
94521000,94507,-459788,1034,4,1,1,1,5
94522000,94508,-459854,1034,4,1,1,1,5
94523000,94509,-459920,1034,4,1,1,1,4
94524000,94510,-459986,1034,4,1,1,1,4
94525000,94511,-460053,1034,4,1,1,1,4
94526000,94512,-460119,1034,4,1,1,1,4
94527000,94513,-460184,1034,4,1,1,1,4
94528000,94514,-460249,1034,4,1,1,1,4
94529000,94515,-460314,1034,4,1,1,1,4
94530000,94516,-460380,1034,4,1,1,1,4
94531000,94517,-460445,1034,4,1,1,1,4
94532000,94518,-460508,1034,4,1,1,1,4
94533000,94519,-460573,1034,4,1,1,1,4
94534000,94520,-460637,1034,4,1,1,1,4
94535000,94521,-460701,1034,4,1,1,1,4
94536000,94522,-460764,1034,4,1,1,1,4
94537000,94523,-460828,1034,4,1,1,1,4
94538000,94524,-460891,1034,4,1,1,1,4
94539000,94525,-460954,1034,4,1,1,1,4
94540000,94526,-461017,1034,4,1,1,1,4
94541000,94527,-461081,1034,4,1,1,1,4
94542000,94528,-461144,1034,4,1,1,1,4
94543000,94529,-461207,1034,4,1,1,1,4
94544000,94530,-461271,1034,4,1,1,1,4
94545000,94531,-461334,1034,4,1,1,1,4
94546000,94532,-461398,1034,4,1,1,1,4
94547000,94533,-461461,1034,4,1,1,1,4
94548000,94534,-461524,1034,4,1,1,1,4
94549000,94535,-461588,1034,4,1,1,1,4
94550000,94536,-461652,1034,4,1,1,1,4
94551000,94537,-461715,1034,4,1,1,1,4
94552000,94538,-461778,1034,4,1,1,1,4
94553000,94539,-461841,1034,4,1,1,1,4
94554000,94540,-461905,1034,4,1,1,1,4
94555000,94541,-461968,1034,4,1,1,1,4
94556000,94542,-462031,1034,4,1,1,1,4
94557000,94543,-462095,1034,4,1,1,1,4
94558000,94544,-462159,1034,4,1,1,1,4
94559000,94545,-462224,1034,4,1,1,1,4
94560000,94546,-462288,1034,4,1,1,1,4
94561000,94547,-462352,1034,4,1,1,1,4
94562000,94548,-462418,1034,4,1,1,1,4
94563000,94549,-462485,1034,4,1,1,1,4
94564000,94550,-462549,1034,4,1,1,1,4
94565000,94551,-462614,1034,4,1,1,1,4
94566000,94552,-462678,1034,4,1,1,1,4
94567000,94553,-462742,1034,4,1,1,1,4
94568000,94554,-462806,1034,4,1,1,1,4
94569000,94555,-462870,1034,4,1,1,1,4
94570000,94556,-462934,1034,4,1,1,1,4
94571000,94557,-462999,1034,4,1,1,1,4
94572000,94558,-463063,1034,4,1,1,1,4
94573000,94559,-463127,1034,4,1,1,1,4
94574000,94560,-463191,1034,4,1,1,1,4
94575000,94561,-463255,1034,4,1,1,1,4
94576000,94562,-463319,1034,4,1,1,1,4
94577000,94563,-463383,1034,4,1,1,1,4
94578000,94564,-463446,1034,4,1,1,1,4
94579000,94565,-463509,1034,4,1,1,1,4
94580000,94566,-463574,1034,4,1,1,1,4
94581000,94567,-463639,1034,4,1,1,1,4
94582000,94568,-463704,1034,4,1,1,1,4
94583000,94569,-463769,1034,4,1,1,1,4
94584000,94570,-463834,1034,4,1,1,1,4
94585000,94571,-463899,1034,4,1,1,1,4
94586000,94572,-463964,1034,4,1,1,1,4
94587000,94573,-464029,1034,4,1,1,1,4
94588000,94574,-464094,1034,4,1,1,1,4
94589000,94575,-464160,1034,4,1,1,1,4
94590000,94576,-464226,1034,4,1,1,1,4
