iTOW,galTow,fGalTow,galWno,leapS,galTowValid,galWnoValid,leapSValid,tAcc
94417000,94417,-452433,1366,18,1,1,1,5
94418000,94418,-452502,1366,18,1,1,1,5
94419000,94419,-452571,1366,18,1,1,1,5
94420000,94420,-452640,1366,18,1,1,1,5
94421000,94421,-452709,1366,18,1,1,1,5
94422000,94422,-452777,1366,18,1,1,1,5
94423000,94423,-452846,1366,18,1,1,1,5
94424000,94424,-452915,1366,18,1,1,1,5
94425000,94425,-452985,1366,18,1,1,1,5
94426000,94426,-453056,1366,18,1,1,1,5
94427000,94427,-453126,1366,18,1,1,1,5
94428000,94428,-453197,1366,18,1,1,1,5
94429000,94429,-453266,1366,18,1,1,1,5
94430000,94430,-453336,1366,18,1,1,1,5
94431000,94431,-453405,1366,18,1,1,1,5
94432000,94432,-453475,1366,18,1,1,1,5
94433000,94433,-453544,1366,18,1,1,1,5
94434000,94434,-453614,1366,18,1,1,1,5
94435000,94435,-453684,1366,18,1,1,1,5
94436000,94436,-453754,1366,18,1,1,1,5
94437000,94437,-453825,1366,18,1,1,1,5
94438000,94438,-453895,1366,18,1,1,1,5
94439000,94439,-453965,1366,18,1,1,1,5
94440000,94440,-454035,1366,18,1,1,1,5
94441000,94441,-454105,1366,18,1,1,1,5
94442000,94442,-454174,1366,18,1,1,1,5
94443000,94443,-454242,1366,18,1,1,1,5
94444000,94444,-454311,1366,18,1,1,1,5
94445000,94445,-454381,1366,18,1,1,1,5
94446000,94446,-454450,1366,18,1,1,1,5
94447000,94447,-454520,1366,18,1,1,1,5
94448000,94448,-454589,1366,18,1,1,1,5
94449000,94449,-454658,1366,18,1,1,1,5
94450000,94450,-454726,1366,18,1,1,1,5
94451000,94451,-454795,1366,18,1,1,1,5
94452000,94452,-454865,1366,18,1,1,1,5
94453000,94453,-454934,1366,18,1,1,1,5
94454000,94454,-455003,1366,18,1,1,1,5
94455000,94455,-455072,1366,18,1,1,1,4
94456000,94456,-455142,1366,18,1,1,1,4
94457000,94457,-455212,1366,18,1,1,1,4
94458000,94458,-455282,1366,18,1,1,1,4
94459000,94459,-455352,1366,18,1,1,1,4
94460000,94460,-455422,1366,18,1,1,1,4
94461000,94461,-455492,1366,18,1,1,1,4
94462000,94462,-455562,1366,18,1,1,1,4
94463000,94463,-455632,1366,18,1,1,1,4
94464000,94464,-455702,1366,18,1,1,1,4
94465000,94465,-455773,1366,18,1,1,1,4
94466000,94466,-455844,1366,18,1,1,1,4
94467000,94467,-455914,1366,18,1,1,1,4
94468000,94468,-455984,1366,18,1,1,1,4
94469000,94469,-456055,1366,18,1,1,1,4
94470000,94470,-456126,1366,18,1,1,1,4
94471000,94471,-456197,1366,18,1,1,1,4
94472000,94472,-456269,1366,18,1,1,1,4
94473000,94473,-456341,1366,18,1,1,1,4
94474000,94474,-456412,1366,18,1,1,1,4
94475000,94475,-456482,1366,18,1,1,1,4
94476000,94476,-456553,1366,18,1,1,1,4
94477000,94477,-456624,1366,18,1,1,1,4
94478000,94478,-456694,1366,18,1,1,1,5
94479000,94479,-456766,1366,18,1,1,1,5
94480000,94480,-456837,1366,18,1,1,1,5
94481000,94481,-456908,1366,18,1,1,1,5
94482000,94482,-456979,1366,18,1,1,1,5
94483000,94483,-457050,1366,18,1,1,1,5
94484000,94484,-457121,1366,18,1,1,1,5
94485000,94485,-457193,1366,18,1,1,1,5
94486000,94486,-457264,1366,18,1,1,1,5
94487000,94487,-457336,1366,18,1,1,1,5
94488000,94488,-457408,1366,18,1,1,1,5
94489000,94489,-457480,1366,18,1,1,1,5
94490000,94490,-457552,1366,18,1,1,1,5
94491000,94491,-457625,1366,18,1,1,1,5
94492000,94492,-457697,1366,18,1,1,1,5
94493000,94493,-457770,1366,18,1,1,1,5
94494000,94494,-457842,1366,18,1,1,1,5
94495000,94495,-457915,1366,18,1,1,1,5
94496000,94496,-457988,1366,18,1,1,1,5
94497000,94497,-458061,1366,18,1,1,1,5
94498000,94498,-458134,1366,18,1,1,1,5
94499000,94499,-458207,1366,18,1,1,1,5
94500000,94500,-458282,1366,18,1,1,1,5
94501000,94501,-458357,1366,18,1,1,1,5
94502000,94502,-458432,1366,18,1,1,1,5
94503000,94503,-458507,1366,18,1,1,1,5
