iTOW,TOD,fTOD,Nt,N4,todValid,dateValid,tAcc
94417000,18799,-452453,666,8,1,1,5
94418000,18800,-452522,666,8,1,1,5
94419000,18801,-452591,666,8,1,1,5
94420000,18802,-452660,666,8,1,1,5
94421000,18803,-452729,666,8,1,1,5
94422000,18804,-452797,666,8,1,1,5
94423000,18805,-452866,666,8,1,1,5
94424000,18806,-452936,666,8,1,1,5
94425000,18807,-453005,666,8,1,1,5
94426000,18808,-453076,666,8,1,1,5
94427000,18809,-453146,666,8,1,1,5
94428000,18810,-453217,666,8,1,1,5
94429000,18811,-453286,666,8,1,1,5
94430000,18812,-453356,666,8,1,1,5
94431000,18813,-453426,666,8,1,1,5
94432000,18814,-453495,666,8,1,1,5
94433000,18815,-453564,666,8,1,1,5
94434000,18816,-453634,666,8,1,1,5
94435000,18817,-453704,666,8,1,1,5
94436000,18818,-453775,666,8,1,1,5
94437000,18819,-453845,666,8,1,1,5
94438000,18820,-453915,666,8,1,1,5
94439000,18821,-453985,666,8,1,1,5
94440000,18822,-454055,666,8,1,1,5
94441000,18823,-454125,666,8,1,1,5
94442000,18824,-454194,666,8,1,1,5
94443000,18825,-454262,666,8,1,1,5
94444000,18826,-454331,666,8,1,1,5
94445000,18827,-454401,666,8,1,1,5
94446000,18828,-454470,666,8,1,1,5
94447000,18829,-454540,666,8,1,1,5
94448000,18830,-454609,666,8,1,1,5
94449000,18831,-454678,666,8,1,1,5
94450000,18832,-454746,666,8,1,1,5
94451000,18833,-454815,666,8,1,1,5
94452000,18834,-454885,666,8,1,1,5
94453000,18835,-454954,666,8,1,1,5
94454000,18836,-455023,666,8,1,1,5
94455000,18837,-455092,666,8,1,1,5
94456000,18838,-455162,666,8,1,1,4
94457000,18839,-455232,666,8,1,1,4
94458000,18840,-455302,666,8,1,1,4
94459000,18841,-455372,666,8,1,1,4
94460000,18842,-455442,666,8,1,1,4
94461000,18843,-455512,666,8,1,1,4
94462000,18844,-455582,666,8,1,1,4
94463000,18845,-455652,666,8,1,1,4
94464000,18846,-455723,666,8,1,1,4
94465000,18847,-455793,666,8,1,1,4
94466000,18848,-455864,666,8,1,1,4
94467000,18849,-455934,666,8,1,1,4
94468000,18850,-456004,666,8,1,1,4
94469000,18851,-456075,666,8,1,1,4
94470000,18852,-456146,666,8,1,1,4
94471000,18853,-456217,666,8,1,1,4
94472000,18854,-456289,666,8,1,1,4
94473000,18855,-456361,666,8,1,1,4
94474000,18856,-456432,666,8,1,1,4
94475000,18857,-456502,666,8,1,1,4
94476000,18858,-456573,666,8,1,1,5
94477000,18859,-456644,666,8,1,1,5
94478000,18860,-456714,666,8,1,1,5
94479000,18861,-456786,666,8,1,1,5
94480000,18862,-456857,666,8,1,1,5
94481000,18863,-456928,666,8,1,1,5
94482000,18864,-456999,666,8,1,1,5
94483000,18865,-457070,666,8,1,1,5
94484000,18866,-457141,666,8,1,1,5
94485000,18867,-457213,666,8,1,1,5
94486000,18868,-457284,666,8,1,1,5
94487000,18869,-457356,666,8,1,1,5
94488000,18870,-457428,666,8,1,1,5
94489000,18871,-457500,666,8,1,1,5
94490000,18872,-457572,666,8,1,1,5
94491000,18873,-457645,666,8,1,1,5
94492000,18874,-457717,666,8,1,1,5
94493000,18875,-457790,666,8,1,1,5
94494000,18876,-457862,666,8,1,1,5
94495000,18877,-457935,666,8,1,1,5
94496000,18878,-458008,666,8,1,1,5
94497000,18879,-458081,666,8,1,1,5
94498000,18880,-458154,666,8,1,1,5
94499000,18881,-458227,666,8,1,1,5
94500000,18882,-458302,666,8,1,1,5
94501000,18883,-458377,666,8,1,1,5
94502000,18884,-458452,666,8,1,1,5
94503000,18885,-458527,666,8,1,1,5
94504000,18886,-458601,666,8,1,1,5
94505000,18887,-458672,666,8,1,1,5
94506000,18888,-458742,666,8,1,1,5
94507000,18889,-458811,666,8,1,1,5
94508000,18890,-458880,666,8,1,1,5
94509000,18891,-458950,666,8,1,1,5
94510000,18892,-459020,666,8,1,1,5
94511000,18893,-459091,666,8,1,1,5
94512000,18894,-459162,666,8,1,1,5
94513000,18895,-459233,666,8,1,1,5
94514000,18896,-459305,666,8,1,1,5
94515000,18897,-459375,666,8,1,1,5
94516000,18898,-459446,666,8,1,1,5
94517000,18899,-459516,666,8,1,1,5
94518000,18900,-459585,666,8,1,1,5
94519000,18901,-459653,666,8,1,1,5
94520000,18902,-459720,666,8,1,1,5
94521000,18903,-459786,666,8,1,1,5
94522000,18904,-459852,666,8,1,1,5
94523000,18905,-459919,666,8,1,1,5
94524000,18906,-459985,666,8,1,1,5
94525000,18907,-460052,666,8,1,1,5
94526000,18908,-460117,666,8,1,1,5
94527000,18909,-460183,666,8,1,1,5
94528000,18910,-460248,666,8,1,1,5
94529000,18911,-460313,666,8,1,1,5
94530000,18912,-460379,666,8,1,1,5
94531000,18913,-460443,666,8,1,1,5
94532000,18914,-460507,666,8,1,1,5
94533000,18915,-460572,666,8,1,1,5
94534000,18916,-460636,666,8,1,1,5
94535000,18917,-460699,666,8,1,1,5
94536000,18918,-460762,666,8,1,1,5
94537000,18919,-460826,666,8,1,1,4
94538000,18920,-460890,666,8,1,1,4
94539000,18921,-460953,666,8,1,1,4
94540000,18922,-461016,666,8,1,1,4
94541000,18923,-461079,666,8,1,1,4
94542000,18924,-461142,666,8,1,1,4
94543000,18925,-461206,666,8,1,1,4
94544000,18926,-461269,666,8,1,1,4
94545000,18927,-461333,666,8,1,1,4
94546000,18928,-461396,666,8,1,1,4
94547000,18929,-461459,666,8,1,1,4
94548000,18930,-461523,666,8,1,1,4
94549000,18931,-461587,666,8,1,1,4
94550000,18932,-461650,666,8,1,1,4
94551000,18933,-461714,666,8,1,1,4
94552000,18934,-461777,666,8,1,1,4
94553000,18935,-461840,666,8,1,1,4
94554000,18936,-461903,666,8,1,1,4
94555000,18937,-461967,666,8,1,1,4
94556000,18938,-462030,666,8,1,1,4
94557000,18939,-462094,666,8,1,1,4
94558000,18940,-462158,666,8,1,1,4
94559000,18941,-462222,666,8,1,1,4
94560000,18942,-462286,666,8,1,1,4
94561000,18943,-462351,666,8,1,1,4
94562000,18944,-462416,666,8,1,1,5
94563000,18945,-462483,666,8,1,1,5
94564000,18946,-462548,666,8,1,1,5
94565000,18947,-462612,666,8,1,1,5
94566000,18948,-462676,666,8,1,1,5
94567000,18949,-462741,666,8,1,1,5
94568000,18950,-462805,666,8,1,1,5
94569000,18951,-462869,666,8,1,1,5
94570000,18952,-462933,666,8,1,1,5
94571000,18953,-462997,666,8,1,1,5
94572000,18954,-463062,666,8,1,1,5
94573000,18955,-463125,666,8,1,1,5
94574000,18956,-463189,666,8,1,1,5
94575000,18957,-463254,666,8,1,1,5
94576000,18958,-463318,666,8,1,1,5
94577000,18959,-463381,666,8,1,1,5
94578000,18960,-463445,666,8,1,1,5
94579000,18961,-463508,666,8,1,1,5
94580000,18962,-463572,666,8,1,1,5
94581000,18963,-463637,666,8,1,1,5
94582000,18964,-463703,666,8,1,1,5
94583000,18965,-463768,666,8,1,1,5
94584000,18966,-463833,666,8,1,1,5
94585000,18967,-463898,666,8,1,1,5
94586000,18968,-463963,666,8,1,1,5
94587000,18969,-464028,666,8,1,1,5
94588000,18970,-464093,666,8,1,1,4
94589000,18971,-464158,666,8,1,1,4
94590000,18972,-464224,666,8,1,1,4
94591000,18973,-464290,666,8,1,1,4
94592000,18974,-464356,666,8,1,1,4
94593000,18975,-464423,666,8,1,1,4
94594000,18976,-464489,666,8,1,1,4
94595000,18977,-464555,666,8,1,1,4
94596000,18978,-464621,666,8,1,1,4
94597000,18979,-464688,666,8,1,1,4
94598000,18980,-464755,666,8,1,1,4
94599000,18981,-464823,666,8,1,1,4
94600000,18982,-464890,666,8,1,1,4
94601000,18983,-464956,666,8,1,1,4
94602000,18984,-465022,666,8,1,1,4
94603000,18985,-465090,666,8,1,1,4
94604000,18986,-465157,666,8,1,1,5
94605000,18987,-465226,666,8,1,1,5
94606000,18988,-465295,666,8,1,1,5
94607000,18989,-465364,666,8,1,1,5
94608000,18990,-465434,666,8,1,1,5
94609000,18991,-465503,666,8,1,1,5
94610000,18992,-465571,666,8,1,1,5
94611000,18993,-465640,666,8,1,1,5
94612000,18994,-465709,666,8,1,1,5
94613000,18995,-465778,666,8,1,1,5
94614000,18996,-465846,666,8,1,1,5
94615000,18997,-465913,666,8,1,1,5
94616000,18998,-465980,666,8,1,1,5
94617000,18999,-466048,666,8,1,1,5
94618000,19000,-466115,666,8,1,1,5
94619000,19001,-466183,666,8,1,1,5
94620000,19002,-466252,666,8,1,1,5
94621000,19003,-466319,666,8,1,1,5
94622000,19004,-466385,666,8,1,1,5
94623000,19005,-466451,666,8,1,1,5
94624000,19006,-466517,666,8,1,1,5
94625000,19007,-466584,666,8,1,1,5
94626000,19008,-466650,666,8,1,1,5
94627000,19009,-466717,666,8,1,1,5
94628000,19010,-466783,666,8,1,1,5
94629000,19011,-466850,666,8,1,1,5
