iTOW,fTOW,week,leapS,towValid,weekValid,leapSValid,tAcc
94417000,-452436,2390,18,1,1,1,3
94418000,-452504,2390,18,1,1,1,3
94419000,-452573,2390,18,1,1,1,3
94420000,-452642,2390,18,1,1,1,3
94421000,-452711,2390,18,1,1,1,3
94422000,-452780,2390,18,1,1,1,3
94423000,-452848,2390,18,1,1,1,3
94424000,-452918,2390,18,1,1,1,3
94425000,-452988,2390,18,1,1,1,3
94426000,-453058,2390,18,1,1,1,3
94427000,-453129,2390,18,1,1,1,3
94428000,-453199,2390,18,1,1,1,3
94429000,-453269,2390,18,1,1,1,3
94430000,-453338,2390,18,1,1,1,3
94431000,-453408,2390,18,1,1,1,3
94432000,-453477,2390,18,1,1,1,3
94433000,-453547,2390,18,1,1,1,3
94434000,-453616,2390,18,1,1,1,3
94435000,-453686,2390,18,1,1,1,3
94436000,-453757,2390,18,1,1,1,3
94437000,-453828,2390,18,1,1,1,3
94438000,-453898,2390,18,1,1,1,3
94439000,-453968,2390,18,1,1,1,3
94440000,-454038,2390,18,1,1,1,3
94441000,-454108,2390,18,1,1,1,3
94442000,-454176,2390,18,1,1,1,3
94443000,-454244,2390,18,1,1,1,3
94444000,-454314,2390,18,1,1,1,3
94445000,-454383,2390,18,1,1,1,3
94446000,-454453,2390,18,1,1,1,3
94447000,-454522,2390,18,1,1,1,3
94448000,-454592,2390,18,1,1,1,3
94449000,-454661,2390,18,1,1,1,3
94450000,-454729,2390,18,1,1,1,3
94451000,-454798,2390,18,1,1,1,3
94452000,-454867,2390,18,1,1,1,3
94453000,-454936,2390,18,1,1,1,3
94454000,-455006,2390,18,1,1,1,3
94455000,-455075,2390,18,1,1,1,3
94456000,-455144,2390,18,1,1,1,3
94457000,-455214,2390,18,1,1,1,3
94458000,-455285,2390,18,1,1,1,3
94459000,-455355,2390,18,1,1,1,3
94460000,-455425,2390,18,1,1,1,3
94461000,-455495,2390,18,1,1,1,3
94462000,-455565,2390,18,1,1,1,3
94463000,-455635,2390,18,1,1,1,3
94464000,-455705,2390,18,1,1,1,3
94465000,-455776,2390,18,1,1,1,3
94466000,-455846,2390,18,1,1,1,3
94467000,-455916,2390,18,1,1,1,3
94468000,-455987,2390,18,1,1,1,3
94469000,-456058,2390,18,1,1,1,3
94470000,-456129,2390,18,1,1,1,3
94471000,-456200,2390,18,1,1,1,3
94472000,-456272,2390,18,1,1,1,3
94473000,-456344,2390,18,1,1,1,3
94474000,-456414,2390,18,1,1,1,3
94475000,-456485,2390,18,1,1,1,3
94476000,-456556,2390,18,1,1,1,3
94477000,-456626,2390,18,1,1,1,3
94478000,-456697,2390,18,1,1,1,3
94479000,-456768,2390,18,1,1,1,3
94480000,-456839,2390,18,1,1,1,3
94481000,-456910,2390,18,1,1,1,3
94482000,-456981,2390,18,1,1,1,3
94483000,-457053,2390,18,1,1,1,3
94484000,-457124,2390,18,1,1,1,3
94485000,-457195,2390,18,1,1,1,3
94486000,-457267,2390,18,1,1,1,3
94487000,-457338,2390,18,1,1,1,3
94488000,-457410,2390,18,1,1,1,3
94489000,-457482,2390,18,1,1,1,3
94490000,-457555,2390,18,1,1,1,3
94491000,-457628,2390,18,1,1,1,3
94492000,-457700,2390,18,1,1,1,3
94493000,-457772,2390,18,1,1,1,3
94494000,-457845,2390,18,1,1,1,3
94495000,-457917,2390,18,1,1,1,3
94496000,-457990,2390,18,1,1,1,3
94497000,-458063,2390,18,1,1,1,3
94498000,-458136,2390,18,1,1,1,3
94499000,-458210,2390,18,1,1,1,3
94500000,-458285,2390,18,1,1,1,3
94501000,-458359,2390,18,1,1,1,3
94502000,-458434,2390,18,1,1,1,3
94503000,-458509,2390,18,1,1,1,3
94504000,-458584,2390,18,1,1,1,3
94505000,-458655,2390,18,1,1,1,3
94506000,-458724,2390,18,1,1,1,3
94507000,-458793,2390,18,1,1,1,3
94508000,-458862,2390,18,1,1,1,3
94509000,-458932,2390,18,1,1,1,4
94510000,-459002,2390,18,1,1,1,4
94511000,-459073,2390,18,1,1,1,4
94512000,-459144,2390,18,1,1,1,4
94513000,-459216,2390,18,1,1,1,4
94514000,-459287,2390,18,1,1,1,4
94515000,-459358,2390,18,1,1,1,4
94516000,-459428,2390,18,1,1,1,4
94517000,-459499,2390,18,1,1,1,4
94518000,-459568,2390,18,1,1,1,4
94519000,-459636,2390,18,1,1,1,4
94520000,-459702,2390,18,1,1,1,4
94521000,-459769,2390,18,1,1,1,3
94522000,-459835,2390,18,1,1,1,3
94523000,-459901,2390,18,1,1,1,3
94524000,-459968,2390,18,1,1,1,3
94525000,-460034,2390,18,1,1,1,3
94526000,-460100,2390,18,1,1,1,3
94527000,-460165,2390,18,1,1,1,3
94528000,-460230,2390,18,1,1,1,3
94529000,-460295,2390,18,1,1,1,3
94530000,-460361,2390,18,1,1,1,3
94531000,-460426,2390,18,1,1,1,3
94532000,-460489,2390,18,1,1,1,3
94533000,-460554,2390,18,1,1,1,3
94534000,-460618,2390,18,1,1,1,3
94535000,-460682,2390,18,1,1,1,3
94536000,-460745,2390,18,1,1,1,3
94537000,-460809,2390,18,1,1,1,3
94538000,-460873,2390,18,1,1,1,3
94539000,-460936,2390,18,1,1,1,3
94540000,-460998,2390,18,1,1,1,3
94541000,-461062,2390,18,1,1,1,3
94542000,-461125,2390,18,1,1,1,3
94543000,-461188,2390,18,1,1,1,3
94544000,-461252,2390,18,1,1,1,3
94545000,-461315,2390,18,1,1,1,3
94546000,-461379,2390,18,1,1,1,3
94547000,-461442,2390,18,1,1,1,3
94548000,-461505,2390,18,1,1,1,3
94549000,-461569,2390,18,1,1,1,3
94550000,-461633,2390,18,1,1,1,3
94551000,-461696,2390,18,1,1,1,3
94552000,-461759,2390,18,1,1,1,3
94553000,-461822,2390,18,1,1,1,3
94554000,-461886,2390,18,1,1,1,3
94555000,-461949,2390,18,1,1,1,3
94556000,-462012,2390,18,1,1,1,3
94557000,-462076,2390,18,1,1,1,3
94558000,-462140,2390,18,1,1,1,3
94559000,-462205,2390,18,1,1,1,3
94560000,-462269,2390,18,1,1,1,3
94561000,-462333,2390,18,1,1,1,3
94562000,-462399,2390,18,1,1,1,3
94563000,-462466,2390,18,1,1,1,3
94564000,-462531,2390,18,1,1,1,3
94565000,-462595,2390,18,1,1,1,3
94566000,-462659,2390,18,1,1,1,3
94567000,-462723,2390,18,1,1,1,3
94568000,-462787,2390,18,1,1,1,3
94569000,-462851,2390,18,1,1,1,3
94570000,-462915,2390,18,1,1,1,3
94571000,-462980,2390,18,1,1,1,3
94572000,-463044,2390,18,1,1,1,3
94573000,-463108,2390,18,1,1,1,3
94574000,-463172,2390,18,1,1,1,3
94575000,-463237,2390,18,1,1,1,3
94576000,-463300,2390,18,1,1,1,3
94577000,-463364,2390,18,1,1,1,3
94578000,-463427,2390,18,1,1,1,3
94579000,-463491,2390,18,1,1,1,3
94580000,-463555,2390,18,1,1,1,3
94581000,-463620,2390,18,1,1,1,3
94582000,-463685,2390,18,1,1,1,3
94583000,-463750,2390,18,1,1,1,3
94584000,-463815,2390,18,1,1,1,3
94585000,-463880,2390,18,1,1,1,3
94586000,-463945,2390,18,1,1,1,3
94587000,-464010,2390,18,1,1,1,3
94588000,-464076,2390,18,1,1,1,3
94589000,-464141,2390,18,1,1,1,3
94590000,-464207,2390,18,1,1,1,3
94591000,-464273,2390,18,1,1,1,3
94592000,-464339,2390,18,1,1,1,3
94593000,-464405,2390,18,1,1,1,3
94594000,-464471,2390,18,1,1,1,3
94595000,-464537,2390,18,1,1,1,3
94596000,-464603,2390,18,1,1,1,3
94597000,-464670,2390,18,1,1,1,3
94598000,-464738,2390,18,1,1,1,3
94599000,-464805,2390,18,1,1,1,3
94600000,-464872,2390,18,1,1,1,3
94601000,-464939,2390,18,1,1,1,3
94602000,-465005,2390,18,1,1,1,3
94603000,-465072,2390,18,1,1,1,3
94604000,-465140,2390,18,1,1,1,3
94605000,-465209,2390,18,1,1,1,3
94606000,-465277,2390,18,1,1,1,3
94607000,-465347,2390,18,1,1,1,3
94608000,-465417,2390,18,1,1,1,3
94609000,-465486,2390,18,1,1,1,3
94610000,-465554,2390,18,1,1,1,3
94611000,-465623,2390,18,1,1,1,3
94612000,-465692,2390,18,1,1,1,3
94613000,-465761,2390,18,1,1,1,3
94614000,-465828,2390,18,1,1,1,3
94615000,-465895,2390,18,1,1,1,3
94616000,-465963,2390,18,1,1,1,3
94617000,-466030,2390,18,1,1,1,3
94618000,-466098,2390,18,1,1,1,3
94619000,-466166,2390,18,1,1,1,3
94620000,-466234,2390,18,1,1,1,3
94621000,-466301,2390,18,1,1,1,3
94622000,-466367,2390,18,1,1,1,3
94623000,-466433,2390,18,1,1,1,3
94624000,-466499,2390,18,1,1,1,4
94625000,-466566,2390,18,1,1,1,4
94626000,-466633,2390,18,1,1,1,4
94627000,-466699,2390,18,1,1,1,4
94628000,-466766,2390,18,1,1,1,4
94629000,-466832,2390,18,1,1,1,4
94630000,-466898,2390,18,1,1,1,4
94631000,-466966,2390,18,1,1,1,4
94632000,-467033,2390,18,1,1,1,4
94633000,-467101,2390,18,1,1,1,4
94634000,-467168,2390,18,1,1,1,4
94635000,-467235,2390,18,1,1,1,4
94636000,-467303,2390,18,1,1,1,4
94637000,-467371,2390,18,1,1,1,3
94638000,-467438,2390,18,1,1,1,3
94639000,-467505,2390,18,1,1,1,3
94640000,-467572,2390,18,1,1,1,3
94641000,-467640,2390,18,1,1,1,3
94642000,-467707,2390,18,1,1,1,3
94643000,-467774,2390,18,1,1,1,3
94644000,-467841,2390,18,1,1,1,3
94645000,-467908,2390,18,1,1,1,3
94646000,-467975,2390,18,1,1,1,3
94647000,-468042,2390,18,1,1,1,3
94648000,-468107,2390,18,1,1,1,3
94649000,-468172,2390,18,1,1,1,3
94650000,-468238,2390,18,1,1,1,3
94651000,-468304,2390,18,1,1,1,3
94652000,-468371,2390,18,1,1,1,3
94653000,-468438,2390,18,1,1,1,3
94654000,-468504,2390,18,1,1,1,3
94655000,-468574,2390,18,1,1,1,3
94656000,-468644,2390,18,1,1,1,3
94657000,-468710,2390,18,1,1,1,3
94658000,-468772,2390,18,1,1,1,3
94659000,-468836,2390,18,1,1,1,3
94660000,-468899,2390,18,1,1,1,3
94661000,-468963,2390,18,1,1,1,3
