iTOW,version,reserved0,srcOfCurrLs,currLs,srcOfLsChange,lsChange,timeToLsEvent,dateOfLsGpsWn,dateOfLsGpsDn,reserved1,validCurrLs,validTimeToLsEvent
94417000,0,0,2,18,2,0,31355202,2441,7,0,1,1
94418000,0,0,2,18,2,0,31355201,2441,7,0,1,1
94419000,0,0,2,18,2,0,31355200,2441,7,0,1,1
94420000,0,0,2,18,2,0,31355199,2441,7,0,1,1
94421000,0,0,2,18,2,0,31355198,2441,7,0,1,1
94422000,0,0,2,18,2,0,31355197,2441,7,0,1,1
94423000,0,0,2,18,2,0,31355196,2441,7,0,1,1
94424000,0,0,2,18,2,0,31355195,2441,7,0,1,1
94425000,0,0,2,18,2,0,31355194,2441,7,0,1,1
94426000,0,0,2,18,2,0,31355193,2441,7,0,1,1
94427000,0,0,2,18,2,0,31355192,2441,7,0,1,1
94428000,0,0,2,18,2,0,31355191,2441,7,0,1,1
94429000,0,0,2,18,2,0,31355190,2441,7,0,1,1
94430000,0,0,2,18,2,0,31355189,2441,7,0,1,1
94431000,0,0,2,18,2,0,31355188,2441,7,0,1,1
94432000,0,0,2,18,2,0,31355187,2441,7,0,1,1
94433000,0,0,2,18,2,0,31355186,2441,7,0,1,1
94434000,0,0,2,18,2,0,31355185,2441,7,0,1,1
94435000,0,0,2,18,2,0,31355184,2441,7,0,1,1
94436000,0,0,2,18,2,0,31355183,2441,7,0,1,1
94437000,0,0,2,18,2,0,31355182,2441,7,0,1,1
94438000,0,0,2,18,2,0,31355181,2441,7,0,1,1
94439000,0,0,2,18,2,0,31355180,2441,7,0,1,1
94440000,0,0,2,18,2,0,31355179,2441,7,0,1,1
94441000,0,0,2,18,2,0,31355178,2441,7,0,1,1
94442000,0,0,2,18,2,0,31355177,2441,7,0,1,1
94443000,0,0,2,18,2,0,31355176,2441,7,0,1,1
94444000,0,0,2,18,2,0,31355175,2441,7,0,1,1
94445000,0,0,2,18,2,0,31355174,2441,7,0,1,1
94446000,0,0,2,18,2,0,31355173,2441,7,0,1,1
94447000,0,0,2,18,2,0,31355172,2441,7,0,1,1
94448000,0,0,2,18,2,0,31355171,2441,7,0,1,1
94449000,0,0,2,18,2,0,31355170,2441,7,0,1,1
94450000,0,0,2,18,2,0,31355169,2441,7,0,1,1
94451000,0,0,2,18,2,0,31355168,2441,7,0,1,1
94452000,0,0,2,18,2,0,31355167,2441,7,0,1,1
94453000,0,0,2,18,2,0,31355166,2441,7,0,1,1
94454000,0,0,2,18,2,0,31355165,2441,7,0,1,1
94455000,0,0,2,18,2,0,31355164,2441,7,0,1,1
94456000,0,0,2,18,2,0,31355163,2441,7,0,1,1
94457000,0,0,2,18,2,0,31355162,2441,7,0,1,1
94458000,0,0,2,18,2,0,31355161,2441,7,0,1,1
94459000,0,0,2,18,2,0,31355160,2441,7,0,1,1
94460000,0,0,2,18,2,0,31355159,2441,7,0,1,1
94461000,0,0,2,18,2,0,31355158,2441,7,0,1,1
94462000,0,0,2,18,2,0,31355157,2441,7,0,1,1
94463000,0,0,2,18,2,0,31355156,2441,7,0,1,1
94464000,0,0,2,18,2,0,31355155,2441,7,0,1,1
94465000,0,0,2,18,2,0,31355154,2441,7,0,1,1
94466000,0,0,2,18,2,0,31355153,2441,7,0,1,1
94467000,0,0,2,18,2,0,31355152,2441,7,0,1,1
94468000,0,0,2,18,2,0,31355151,2441,7,0,1,1
94469000,0,0,2,18,2,0,31355150,2441,7,0,1,1
94470000,0,0,2,18,2,0,31355149,2441,7,0,1,1
94471000,0,0,2,18,2,0,31355148,2441,7,0,1,1
94472000,0,0,2,18,2,0,31355147,2441,7,0,1,1
94473000,0,0,2,18,2,0,31355146,2441,7,0,1,1
94474000,0,0,2,18,2,0,31355145,2441,7,0,1,1
94475000,0,0,2,18,2,0,31355144,2441,7,0,1,1
94476000,0,0,2,18,2,0,31355143,2441,7,0,1,1
94477000,0,0,2,18,2,0,31355142,2441,7,0,1,1
94478000,0,0,2,18,2,0,31355141,2441,7,0,1,1
94479000,0,0,2,18,2,0,31355140,2441,7,0,1,1
94480000,0,0,2,18,2,0,31355139,2441,7,0,1,1
94481000,0,0,2,18,2,0,31355138,2441,7,0,1,1
94482000,0,0,2,18,2,0,31355137,2441,7,0,1,1
94483000,0,0,2,18,2,0,31355136,2441,7,0,1,1
94484000,0,0,2,18,2,0,31355135,2441,7,0,1,1
94485000,0,0,2,18,2,0,31355134,2441,7,0,1,1
94486000,0,0,2,18,2,0,31355133,2441,7,0,1,1
94487000,0,0,2,18,2,0,31355132,2441,7,0,1,1
94488000,0,0,2,18,2,0,31355131,2441,7,0,1,1
94489000,0,0,2,18,2,0,31355130,2441,7,0,1,1
94490000,0,0,2,18,2,0,31355129,2441,7,0,1,1
94491000,0,0,2,18,2,0,31355128,2441,7,0,1,1
94492000,0,0,2,18,2,0,31355127,2441,7,0,1,1
94493000,0,0,2,18,2,0,31355126,2441,7,0,1,1
94494000,0,0,2,18,2,0,31355125,2441,7,0,1,1
94495000,0,0,2,18,2,0,31355124,2441,7,0,1,1
94496000,0,0,2,18,2,0,31355123,2441,7,0,1,1
94497000,0,0,2,18,2,0,31355122,2441,7,0,1,1
94498000,0,0,2,18,2,0,31355121,2441,7,0,1,1
94499000,0,0,2,18,2,0,31355120,2441,7,0,1,1
