iTOW,qzssTow,fQzssTow,qzssWno,leapS,qzssTowValid,qzssWnoValid,leapSValid,tAcc
94417000,94417,-452436,2390,18,1,1,1,16
94418000,94418,-452504,2390,18,1,1,1,16
94419000,94419,-452573,2390,18,1,1,1,16
94420000,94420,-452642,2390,18,1,1,1,16
94421000,94421,-452711,2390,18,1,1,1,16
94422000,94422,-452780,2390,18,1,1,1,16
94423000,94423,-452848,2390,18,1,1,1,16
94424000,94424,-452918,2390,18,1,1,1,16
94425000,94425,-452988,2390,18,1,1,1,16
94426000,94426,-453058,2390,18,1,1,1,16
94427000,94427,-453129,2390,18,1,1,1,16
94428000,94428,-453199,2390,18,1,1,1,16
94429000,94429,-453269,2390,18,1,1,1,16
94430000,94430,-453338,2390,18,1,1,1,16
94431000,94431,-453408,2390,18,1,1,1,16
94432000,94432,-453477,2390,18,1,1,1,16
94433000,94433,-453547,2390,18,1,1,1,16
94434000,94434,-453616,2390,18,1,1,1,16
94435000,94435,-453686,2390,18,1,1,1,16
94436000,94436,-453757,2390,18,1,1,1,17
94437000,94437,-453828,2390,18,1,1,1,17
94438000,94438,-453898,2390,18,1,1,1,17
94439000,94439,-453968,2390,18,1,1,1,17
94440000,94440,-454038,2390,18,1,1,1,17
94441000,94441,-454108,2390,18,1,1,1,17
94442000,94442,-454176,2390,18,1,1,1,17
94443000,94443,-454244,2390,18,1,1,1,17
94444000,94444,-454314,2390,18,1,1,1,17
94445000,94445,-454383,2390,18,1,1,1,17
94446000,94446,-454453,2390,18,1,1,1,17
94447000,94447,-454522,2390,18,1,1,1,17
94448000,94448,-454592,2390,18,1,1,1,17
94449000,94449,-454661,2390,18,1,1,1,17
94450000,94450,-454729,2390,18,1,1,1,17
94451000,94451,-454798,2390,18,1,1,1,16
94452000,94452,-454867,2390,18,1,1,1,16
94453000,94453,-454936,2390,18,1,1,1,16
94454000,94454,-455006,2390,18,1,1,1,16
94455000,94455,-455075,2390,18,1,1,1,16
94456000,94456,-455144,2390,18,1,1,1,16
94457000,94457,-455214,2390,18,1,1,1,16
94458000,94458,-455285,2390,18,1,1,1,16
94459000,94459,-455355,2390,18,1,1,1,16
94460000,94460,-455425,2390,18,1,1,1,16
94461000,94461,-455495,2390,18,1,1,1,16
94462000,94462,-455565,2390,18,1,1,1,16
94463000,94463,-455635,2390,18,1,1,1,16
94464000,94464,-455705,2390,18,1,1,1,16
94465000,94465,-455776,2390,18,1,1,1,16
94466000,94466,-455846,2390,18,1,1,1,16
94467000,94467,-455916,2390,18,1,1,1,16
94468000,94468,-455987,2390,18,1,1,1,16
94469000,94469,-456058,2390,18,1,1,1,16
94470000,94470,-456129,2390,18,1,1,1,16
94471000,94471,-456200,2390,18,1,1,1,16
94472000,94472,-456272,2390,18,1,1,1,16
94473000,94473,-456344,2390,18,1,1,1,16
94474000,94474,-456414,2390,18,1,1,1,16
94475000,94475,-456485,2390,18,1,1,1,16
94476000,94476,-456556,2390,18,1,1,1,16
94477000,94477,-456626,2390,18,1,1,1,16
94478000,94478,-456697,2390,18,1,1,1,16
94479000,94479,-456768,2390,18,1,1,1,16
94480000,94480,-456839,2390,18,1,1,1,16
94481000,94481,-456910,2390,18,1,1,1,16
94482000,94482,-456981,2390,18,1,1,1,16
94483000,94483,-457053,2390,18,1,1,1,16
94484000,94484,-457124,2390,18,1,1,1,16
94485000,94485,-457195,2390,18,1,1,1,17
94486000,94486,-457267,2390,18,1,1,1,17
94487000,94487,-457338,2390,18,1,1,1,17
94488000,94488,-457410,2390,18,1,1,1,17
94489000,94489,-457482,2390,18,1,1,1,17
