iTOW,tAcc,nano,year,month,day,hour,min,sec,validTOW,validWKN,validUTC,utcStandard
94417000,23,-452434,2025,10,27,2,13,19,1,1,1,3
94418000,23,-452502,2025,10,27,2,13,20,1,1,1,3
94419000,23,-452571,2025,10,27,2,13,21,1,1,1,3
94420000,23,-452640,2025,10,27,2,13,22,1,1,1,3
94421000,23,-452709,2025,10,27,2,13,23,1,1,1,3
94422000,23,-452778,2025,10,27,2,13,24,1,1,1,3
94423000,23,-452846,2025,10,27,2,13,25,1,1,1,3
94424000,23,-452916,2025,10,27,2,13,26,1,1,1,3
94425000,23,-452986,2025,10,27,2,13,27,1,1,1,3
94426000,23,-453056,2025,10,27,2,13,28,1,1,1,3
94427000,23,-453127,2025,10,27,2,13,29,1,1,1,3
94428000,23,-453197,2025,10,27,2,13,30,1,1,1,3
94429000,23,-453267,2025,10,27,2,13,31,1,1,1,3
94430000,23,-453336,2025,10,27,2,13,32,1,1,1,3
94431000,23,-453406,2025,10,27,2,13,33,1,1,1,3
94432000,23,-453475,2025,10,27,2,13,34,1,1,1,3
94433000,23,-453545,2025,10,27,2,13,35,1,1,1,3
94434000,23,-453614,2025,10,27,2,13,36,1,1,1,3
94435000,23,-453684,2025,10,27,2,13,37,1,1,1,3
94436000,23,-453755,2025,10,27,2,13,38,1,1,1,3
94437000,23,-453826,2025,10,27,2,13,39,1,1,1,3
94438000,23,-453896,2025,10,27,2,13,40,1,1,1,3
94439000,23,-453966,2025,10,27,2,13,41,1,1,1,3
94440000,23,-454036,2025,10,27,2,13,42,1,1,1,3
94441000,23,-454105,2025,10,27,2,13,43,1,1,1,3
94442000,23,-454174,2025,10,27,2,13,44,1,1,1,3
94443000,23,-454242,2025,10,27,2,13,45,1,1,1,3
94444000,23,-454312,2025,10,27,2,13,46,1,1,1,3
94445000,23,-454381,2025,10,27,2,13,47,1,1,1,3
94446000,23,-454451,2025,10,27,2,13,48,1,1,1,3
94447000,23,-454520,2025,10,27,2,13,49,1,1,1,3
94448000,23,-454590,2025,10,27,2,13,50,1,1,1,3
94449000,23,-454659,2025,10,27,2,13,51,1,1,1,3
94450000,23,-454727,2025,10,27,2,13,52,1,1,1,3
94451000,23,-454796,2025,10,27,2,13,53,1,1,1,3
94452000,23,-454865,2025,10,27,2,13,54,1,1,1,3
94453000,23,-454934,2025,10,27,2,13,55,1,1,1,3
94454000,23,-455004,2025,10,27,2,13,56,1,1,1,3
94455000,23,-455073,2025,10,27,2,13,57,1,1,1,3
94456000,23,-455142,2025,10,27,2,13,58,1,1,1,3
94457000,23,-455212,2025,10,27,2,13,59,1,1,1,3
94458000,23,-455282,2025,10,27,2,14,0,1,1,1,3
94459000,23,-455353,2025,10,27,2,14,1,1,1,1,3
94460000,23,-455423,2025,10,27,2,14,2,1,1,1,3
94461000,23,-455493,2025,10,27,2,14,3,1,1,1,3
94462000,23,-455563,2025,10,27,2,14,4,1,1,1,3
94463000,23,-455633,2025,10,27,2,14,5,1,1,1,3
94464000,23,-455703,2025,10,27,2,14,6,1,1,1,3
94465000,23,-455774,2025,10,27,2,14,7,1,1,1,3
94466000,23,-455844,2025,10,27,2,14,8,1,1,1,3
94467000,23,-455914,2025,10,27,2,14,9,1,1,1,3
94468000,23,-455985,2025,10,27,2,14,10,1,1,1,3
94469000,23,-456056,2025,10,27,2,14,11,1,1,1,3
94470000,23,-456127,2025,10,27,2,14,12,1,1,1,3
94471000,23,-456198,2025,10,27,2,14,13,1,1,1,3
94472000,23,-456270,2025,10,27,2,14,14,1,1,1,3
94473000,23,-456342,2025,10,27,2,14,15,1,1,1,3
