iTOW,ecefVX,ecefVY,ecefVZ,sAcc
94417000,0,1,-3,7
94418000,3,-7,-1,16
94419000,-2,-7,7,9
94420000,0,-1,-1,12
94421000,1,-1,-2,14
94422000,2,4,2,12
94423000,5,-3,-1,14
94424000,0,-5,2,14
94425000,3,0,-2,11
94426000,-9,-9,-13,10
94427000,-5,5,-11,11
94428000,5,0,2,11
94429000,-1,4,1,19
94430000,0,-1,-1,13
94431000,4,2,-2,10
94432000,5,-4,12,10
94433000,2,8,1,16
94434000,7,-1,12,11
94435000,3,-5,21,10
94436000,4,-16,25,14
94437000,-7,-13,27,11
94438000,-8,-17,18,12
94439000,-9,-16,30,8
94440000,-27,-23,24,12
94441000,-28,-21,34,10
94442000,-34,-23,28,11
94443000,-40,-37,34,10
94444000,-26,-39,31,9
94445000,-45,-53,36,9
94446000,-41,-36,34,10
94447000,-49,-48,39,9
94448000,-40,-40,35,10
94449000,-57,-40,42,10
94450000,-45,-42,43,10
94451000,-46,-41,43,9
94452000,-51,-53,42,9
94453000,-58,-52,53,9
94454000,-48,-55,40,9
94455000,-46,-38,37,8
94456000,-53,-53,41,8
94457000,-52,-52,45,8
94458000,-41,-57,43,9
94459000,-49,-42,35,9
94460000,-47,-43,36,9
94461000,-49,-53,42,8
94462000,-42,-40,44,8
94463000,-51,-65,45,9
94464000,-52,-52,41,9
94465000,-63,-53,30,9
94466000,-59,-42,29,8
94467000,-65,-41,33,8
94468000,-74,-65,26,9
94469000,-63,-48,9,10
94470000,-67,-40,-9,10
94471000,-68,-45,-16,11
94472000,-85,-49,-18,11
94473000,-83,-40,-36,11
94474000,-84,-19,-37,9
94475000,-77,-10,-50,8
94476000,-65,-27,-44,10
94477000,-72,-25,-47,10
94478000,-72,-10,-60,9
94479000,-64,-4,-66,8
94480000,-55,0,-63,9
94481000,-57,-1,-67,8
94482000,-54,-3,-64,8
94483000,-63,-6,-72,8
94484000,-62,-8,-75,9
94485000,-52,8,-66,9
94486000,-34,13,-75,9
94487000,-26,9,-76,8
94488000,-33,3,-74,8
94489000,-18,11,-86,8
94490000,-19,20,-88,9
94491000,-7,27,-78,8
94492000,6,20,-68,8
94493000,-4,9,-62,9
94494000,-8,7,-69,8
94495000,9,3,-58,9
94496000,11,-2,-30,10
94497000,12,-2,-14,11
94498000,11,0,-4,11
94499000,15,-1,18,8
94500000,15,-9,22,6
94501000,10,-45,23,13
94502000,63,6,22,9
94503000,60,5,34,12
94504000,70,39,18,25
94505000,75,42,2,13
94506000,74,37,-12,12
94507000,24,38,1,19
94508000,20,35,2,20
94509000,16,34,-10,19
94510000,16,21,0,17
94511000,14,14,-5,16
94512000,23,28,-21,15
94513000,30,41,-5,18
94514000,21,42,-6,18
94515000,18,32,-16,16
94516000,22,42,-10,18
