iTOW,velN,velE,velD,speed,gSpeed,heading,sAcc,cAcc
94417000,-3,0,1,3,3,207.31728,7,180.0
94418000,2,0,7,8,2,207.31728,16,180.0
94419000,9,5,2,10,10,207.31728,9,55.17269
94420000,-1,0,1,2,1,207.31728,12,180.0
94421000,-1,-1,2,3,1,207.31728,14,180.0
94422000,1,-3,-3,4,3,207.31728,12,136.15924
94423000,1,-3,5,6,3,207.31728,14,127.92428
94424000,3,2,4,6,4,207.31728,14,130.76442
94425000,-2,-2,2,4,3,207.31728,11,180.0
94426000,-11,12,9,19,16,130.69702,10,29.90318
94427000,-13,2,-2,13,13,169.45944,11,42.03923
94428000,2,-4,1,5,5,181.75346,11,87.3689
94429000,0,0,-4,4,0,181.75346,19,180.0
94430000,-1,0,1,2,1,181.75346,13,180.0
94431000,-2,-5,1,6,5,181.75346,10,96.44884
94432000,13,-3,0,14,14,349.20476,10,39.93138
94433000,-2,-5,-6,8,5,269.92336,16,116.0109
94434000,12,-6,-1,14,14,331.89322,11,43.60799
94435000,22,-1,-3,22,22,357.28424,10,32.07686
94436000,29,2,6,30,29,4.70166,14,27.67239
94437000,29,11,-2,31,31,21.7268,11,25.3672
94438000,21,15,5,26,26,34.93826,12,27.85166
94439000,32,15,-1,35,35,24.92307,8,20.23912
94440000,26,34,0,42,42,52.26911,12,15.96157
94441000,34,34,-6,49,48,44.64657,10,13.75492
94442000,29,40,-5,50,50,54.48953,11,14.49083
94443000,38,52,3,64,64,53.91214,10,10.26783
94444000,38,39,11,56,55,45.70153,9,13.07881
94445000,45,63,14,79,77,54.39986,9,8.18004
94446000,37,52,1,64,64,54.26955,10,10.23325
94447000,45,64,8,79,79,55.04978,9,8.08516
94448000,40,53,5,67,66,52.88177,10,9.27004
94449000,44,68,-3,81,81,57.43469,10,6.93073
94450000,47,59,2,76,75,51.00422,10,6.99334
94451000,46,59,1,75,75,51.81546,9,7.01742
94452000,49,69,9,85,85,54.24713,9,5.75479
94453000,58,74,2,94,94,52.00197,9,4.71654
94454000,48,66,13,83,82,54.0141,9,5.43713
94455000,40,58,0,70,70,54.93948,8,5.46511
94456000,48,70,9,85,85,55.33631,8,4.39438
94457000,51,68,7,86,85,53.14804,8,4.32228
94458000,53,61,16,82,81,48.74166,9,4.80366
94459000,39,62,4,74,74,57.59309,9,5.01569
94460000,41,61,4,73,73,55.93258,9,5.36296
94461000,50,66,11,83,83,53.18821,8,4.28761
94462000,49,55,1,74,73,48.67603,8,4.98224
94463000,56,73,18,94,92,52.32074,9,4.16132
94464000,48,69,9,84,84,55.14749,9,4.61737
94465000,36,79,9,88,87,65.3548,9,4.40151
94466000,32,71,2,78,78,65.65875,8,4.61978
94467000,35,76,-3,84,84,65.29984,8,4.13186
94468000,35,94,17,102,100,69.89409,9,3.55645
94469000,15,77,14,80,79,78.80761,10,5.38105
94470000,-5,78,12,79,78,93.76626,10,6.61494
94471000,-10,81,18,83,81,97.06026,11,6.23688
94472000,-12,98,16,100,98,97.28996,11,4.93968
94473000,-32,92,16,99,98,109.30582,11,5.81653
94474000,-41,84,-1,94,94,115.7031,9,6.58528
94475000,-55,75,-2,93,93,126.13608,8,7.1394
94476000,-41,70,15,83,81,120.60886,10,8.21328
94477000,-46,76,11,90,89,121.14082,10,8.40637
94478000,-63,70,3,94,94,132.0262,9,7.81187
94479000,-70,60,4,92,92,139.3499,8,7.75572
94480000,-67,50,3,83,83,143.05294,9,9.02753
94481000,-71,52,5,88,88,143.8255,8,8.2505
94482000,-67,51,6,84,84,142.7981,8,8.47913
94483000,-74,60,8,96,95,141.27268,8,7.73231
94484000,-76,60,11,98,97,141.79884,9,7.50138
94485000,-72,44,-1,84,84,148.49768,9,8.86392
94486000,-79,26,4,83,83,161.68444,9,8.83899
94487000,-77,20,11,80,80,165.33686,8,8.41817
94488000,-75,29,13,81,80,158.8496,8,8.88539
94489000,-86,12,17,89,87,171.8369,8,8.02947
94490000,-91,10,9,92,91,173.93314,9,8.02334
94491000,-83,-4,5,83,83,183.08924,8,7.99896
94492000,-69,-14,11,71,70,191.66844,8,9.29719
94493000,-61,0,14,63,61,179.85214,9,10.6862
94494000,-68,4,17,70,68,176.36446,8,10.49875
94495000,-53,-10,23,58,54,190.42424,9,12.09329
94496000,-26,-9,18,32,27,198.62354,10,23.99895
94497000,-10,-10,12,18,14,224.38702,11,40.28093
94498000,-2,-10,6,12,10,196.85742,11,52.10243
94499000,19,-14,0,23,23,323.82968,8,28.64395
94500000,26,-10,5,28,28,338.73056,6,23.02533
94501000,38,9,33,51,39,13.69761,13,13.74395
94502000,28,-60,10,67,66,294.85408,9,6.88048
94503000,39,-56,6,69,68,304.71078,12,12.67915
94504000,14,-80,-13,82,81,279.99008,25,13.57258
94505000,-1,-86,-8,86,86,269.35812,13,4.60945
94506000,-13,-82,2,83,83,261.27154,12,5.5356
94507000,-9,-38,-23,45,39,257.0469,19,12.33193
94508000,-7,-33,-23,41,33,258.07304,20,16.37252
94509000,-19,-29,-19,39,34,237.06436,19,16.835
94510000,-5,-23,-12,26,24,257.38358,17,25.58877
94511000,-7,-18,-4,20,20,249.90288,16,27.58975
94512000,-26,-32,-7,42,41,231.58962,15,15.88177
94513000,-14,-44,-21,51,46,252.7006,18,13.51644
94514000,-17,-37,-25,47,40,245.0853,18,12.68486
94515000,-23,-29,-14,40,37,231.27016,16,12.99499
94516000,-20,-38,-23,48,42,242.09956,18,12.26356
94517000,-24,-39,-17,49,46,238.32702,16,10.41351
94518000,-10,-50,-10,52,51,258.90028,13,11.27073
94519000,-35,-44,-11,57,56,231.12218,13,8.4701
94520000,-36,-43,-2,56,56,230.29622,12,8.51504
94521000,-24,-44,-11,51,50,241.02218,13,8.61085
94522000,-15,-45,-14,49,47,251.79328,13,10.05665
94523000,-15,-42,-2,44,44,250.57822,10,10.6009
94524000,-1,-37,6,37,37,268.03524,8,14.68201
94525000,-33,-51,-11,62,61,237.5716,13,7.25473
