towMS,towSubMS,qErr,week,timeBase,utc,raim,qErrInvalid,TpNotLocked,timeRefGnss,utcStandard
94400000,0.0,0,2390,1,1,2,1,0,15,3
94401000,0.0,0,2390,1,1,2,1,0,15,3
94402000,0.0,0,2390,1,1,2,1,0,15,3
94403000,0.0,0,2390,1,1,2,1,0,15,3
94404000,0.0,0,2390,1,1,2,1,0,15,3
94405000,0.0,0,2390,1,1,2,1,0,15,3
94406000,0.0,0,2390,1,1,2,1,0,15,3
94407000,0.0,0,2390,1,1,2,1,0,15,3
94408000,0.0,0,2390,1,1,2,1,0,15,3
94409000,0.0,0,2390,1,1,2,1,0,15,3
94410000,0.0,0,2390,1,1,2,1,0,15,3
94411000,0.0,0,2390,1,1,2,1,0,15,3
94412000,0.0,0,2390,1,1,2,1,0,15,3
94413000,0.0,0,2390,1,1,2,1,0,15,3
94414000,0.0,0,2390,1,1,2,1,0,15,3
94415000,0.0,0,2390,1,1,2,1,0,15,3
94416000,0.0,0,2390,1,1,2,1,0,15,3
94417000,0.0,0,2390,1,1,2,1,0,15,3
94418000,0.0,0,2390,1,1,2,1,0,15,3
94419000,0.0,0,2390,1,1,2,1,0,15,3
94420000,0.0,0,2390,1,1,2,1,0,15,3
94421000,0.0,0,2390,1,1,2,1,0,15,3
94422000,0.0,0,2390,1,1,2,1,0,15,3
94423000,0.0,0,2390,1,1,2,1,0,15,3
94424000,0.0,0,2390,1,1,2,1,0,15,3
94425000,0.0,0,2390,1,1,2,1,0,15,3
94426000,0.0,0,2390,1,1,2,1,0,15,3
94427000,0.0,0,2390,1,1,2,1,0,15,3
94428000,0.0,0,2390,1,1,2,1,0,15,3
94429000,0.0,0,2390,1,1,2,1,0,15,3
94430000,0.0,0,2390,1,1,2,1,0,15,3
94431000,0.0,0,2390,1,1,2,1,0,15,3
94432000,0.0,0,2390,1,1,2,1,0,15,3
94433000,0.0,0,2390,1,1,2,1,0,15,3
94434000,0.0,0,2390,1,1,2,1,0,15,3
94435000,0.0,0,2390,1,1,2,1,0,15,3
94436000,0.0,0,2390,1,1,2,1,0,15,3
94437000,0.0,0,2390,1,1,2,1,0,15,3
94438000,0.0,0,2390,1,1,2,1,0,15,3
94439000,0.0,0,2390,1,1,2,1,0,15,3
94440000,0.0,0,2390,1,1,2,1,0,15,3
94441000,0.0,0,2390,1,1,2,1,0,15,3
94442000,0.0,0,2390,1,1,2,1,0,15,3
94443000,0.0,0,2390,1,1,2,1,0,15,3
94444000,0.0,0,2390,1,1,2,1,0,15,3
94445000,0.0,0,2390,1,1,2,1,0,15,3
94446000,0.0,0,2390,1,1,2,1,0,15,3
94447000,0.0,0,2390,1,1,2,1,0,15,3
94448000,0.0,0,2390,1,1,2,1,0,15,3
94449000,0.0,0,2390,1,1,2,1,0,15,3
94450000,0.0,0,2390,1,1,2,1,0,15,3
94451000,0.0,0,2390,1,1,2,1,0,15,3
94452000,0.0,0,2390,1,1,2,1,0,15,3
94453000,0.0,0,2390,1,1,2,1,0,15,3
94454000,0.0,0,2390,1,1,2,1,0,15,3
94455000,0.0,0,2390,1,1,2,1,0,15,3
94456000,0.0,0,2390,1,1,2,1,0,15,3
94457000,0.0,0,2390,1,1,2,1,0,15,3
94458000,0.0,0,2390,1,1,2,1,0,15,3
94459000,0.0,0,2390,1,1,2,1,0,15,3
94460000,0.0,0,2390,1,1,2,1,0,15,3
94461000,0.0,0,2390,1,1,2,1,0,15,3
94462000,0.0,0,2390,1,1,2,1,0,15,3
94463000,0.0,0,2390,1,1,2,1,0,15,3
94464000,0.0,0,2390,1,1,2,1,0,15,3
94465000,0.0,0,2390,1,1,2,1,0,15,3
94466000,0.0,0,2390,1,1,2,1,0,15,3
94467000,0.0,0,2390,1,1,2,1,0,15,3
94468000,0.0,0,2390,1,1,2,1,0,15,3
94469000,0.0,0,2390,1,1,2,1,0,15,3
94470000,0.0,0,2390,1,1,2,1,0,15,3
94471000,0.0,0,2390,1,1,2,1,0,15,3
94472000,0.0,0,2390,1,1,2,1,0,15,3
94473000,0.0,0,2390,1,1,2,1,0,15,3
94474000,0.0,0,2390,1,1,2,1,0,15,3
94475000,0.0,0,2390,1,1,2,1,0,15,3
94476000,0.0,0,2390,1,1,2,1,0,15,3
94477000,0.0,0,2390,1,1,2,1,0,15,3
94478000,0.0,0,2390,1,1,2,1,0,15,3
94479000,0.0,0,2390,1,1,2,1,0,15,3
