Epoch,Latitude_deg,Longitude_deg,Altitude_m,Clock_Bias_m,East_m,North_m,Up_m,ECEF_X_m,ECEF_Y_m,ECEF_Z_m
1,22.305674094205365,114.18039026449331,20.745626598596573,1334810.008835002,31.731619383801448,-3.50538758634869,1.00767478006652,-2418236.346098608,5385749.07075016,2405770.1241750587
2,22.305675303617456,114.18038635888833,19.916494539007545,1334829.9336499895,31.32918259290202,-3.371463977533055,0.17854478190158118,-2418235.643946415,5385748.489434435,2405769.9333825456
3,22.305674949239243,114.18040062804037,26.141926205717027,1334854.972313984,32.799503929414335,-3.4107062821970118,6.403969040167998,-2418239.3505276325,5385753.155025935,2405772.2599258227
4,22.305667397602484,114.18039985288347,23.174048034474254,1334874.0595363176,32.71961845172844,-4.2469340293281,3.436090773976571,-2418238.2829604433,5385750.972401032,2405770.359818255
5,22.30566683247993,114.18039679552348,20.97294958587736,1334893.3588128695,32.404577747225446,-4.309511941041205,1.2349938910591918,-2418237.1711706277,5385749.265385896,2405769.4665003615
6,22.3056797129852,114.18038231547489,18.546380666084588,1334911.7337346645,30.912542845363806,-2.8831938732999607,-1.1915668193518358,-2418234.6687406623,5385747.334656349,2405769.8650928177
7,22.305672518591525,114.18038730610886,15.310294482856989,1334931.014903357,31.426761856928962,-3.67986030929861,-4.427655926223942,-2418234.035362266,5385744.66861484,2405767.8997872975
8,22.305646704959155,114.18040981054665,11.114029292017221,1334951.0555855716,33.74559493196488,-6.538315640372702,-8.623935258319069,-2418235.00493245,5385741.166882098,2405763.6625340125
9,22.30567289261712,114.18038379622176,4.631672814488411,1334966.6501571604,31.065052301537346,-3.6384373044031872,-15.106275799088523,-2418229.652222268,5385735.789678504,2405763.8850587453
10,22.3056611250779,114.1803931557582,0.7646002508699894,1334986.2483785294,32.02943718092915,-4.941504924215976,-18.973354011682243,-2418229.2691240683,5385732.582032007,2405761.211754228
11,22.305648803176283,114.18040785439419,6.996511545032263,1335011.9101376284,33.544011646007014,-6.305966719817236,-12.741451709282973,-2418233.2245562067,5385737.69381883,2405762.314700367
12,22.305650424964384,114.1804109425477,17.571692389436066,1335038.8433536184,33.862269223288415,-6.1263882788618735,-2.1662723678872164,-2418237.4944991507,5385746.426728333,2405766.494632575
13,22.305663751051444,114.1804066694507,20.022225595079362,1335060.7054900122,33.421980305663524,-4.650730416428213,0.2842644118938731,-2418237.79207195,5385748.164382481,2405768.7899668557
14,22.305660251873363,114.18039839406232,19.645037579350173,1335080.7119785566,32.5692855075275,-5.0382126048056906,-0.09291949194917204,-2418236.9314943487,5385748.329473036,2405768.288319706
15,22.305665817608876,114.18037606083793,16.27610843349248,1335098.3096196428,30.268059265194147,-4.421894500770682,-3.4618368477121484,-2418233.4596846327,5385746.215304947,2405767.579853079
16,22.30566371317354,114.18037330149069,12.020185102708638,1335116.6187821263,29.983717526619248,-4.654925953763012,-7.717759001791702,-2418231.62371176,5385742.820462543,2405765.7489309283
17,22.305672285794735,114.18036466103405,11.294844660907984,1335136.3939948804,29.09340334604264,-3.705641183371114,-8.443094696829778,-2418230.389060442,5385742.244269725,2405766.351882622
18,22.305671833948313,114.18037808156544,14.460077721625566,1335159.8437789795,30.476264355267062,-3.75567544969009,-5.2778681202293445,-2418232.8578526652,5385744.366616224,2405767.5069486704
19,22.305691702463918,114.18036526603282,12.537907841615379,1335179.0206538923,29.15574380920274,-1.5555439324143903,-7.200030910119792,-2418230.5827323096,5385742.523413953,2405768.812894976
20,22.305691398751534,114.18039564921875,24.76017466094345,1335208.821045612,32.28647633051503,-1.5891722919131193,5.022220829099912,-2418238.075704911,5385751.5682680365,2405773.4207177567
21,22.305703436927022,114.1804012536797,27.651813117787242,1335232.2675479453,32.86397079805099,-0.25612560632809106,7.913856531150275,-2418239.4910915107,5385753.31069823,2405775.7515305234
22,22.30568459553015,114.18038457414522,22.152223797515035,1335249.6647745317,31.145292036521703,-2.3425273742790713,2.4142754039952106,-2418236.163469402,5385750.095446167,2405771.7338935477
23,22.305728048071618,114.18041371001111,24.186156791634858,1335272.0457521924,34.147444316616955,2.469188535230822,4.448192991698798,-2418238.9249310885,5385748.916327087,2405776.957527973
24,22.30571422266976,114.18040795019998,17.445583140477538,1335289.4504382762,33.55392274445058,0.9382325391889234,-2.292377100506735,-2418236.0671151564,5385744.000487818,2405772.9827585877
25,22.30572355552816,114.18040808253109,22.97207993362099,1335312.4821365306,33.567584936153224,1.9717058002196097,3.234119383145693,-2418238.013207988,5385748.301415404,2405776.0364713464
